"","id","name","review_avg","rank"
"0","515402","바다왕국아구찜&해물찜","4.8","1"
"1","265390","직화삼겹직구삼-강남1호점","4.7","2"
"2","272597","반올림피자샵-강남2호점","4.8","3"
"3","508204","빅스타피자강남1호점","4.8","4"
"4","365945","족보잇는국밥&밀면-역삼점","4.8","5"
"5","304060","네네치킨-대치점","4.5","6"
"6","514732","뉴욕버거앤치킨-신논현점","4.7","7"
"7","290688","파리바게뜨-강남구청카페점","4.8","8"
"8","481382","쫄면주는삼겹본능by놀부-선릉역점","4.8","9"
"9","233777","피자알볼로-대치직영점","4.7","10"
"10","359241","아웃백-삼성점","4.7","11"
"11","231137","피자헛-삼성중앙점","4.6","12"
"12","439031","또래오래-강남논현점","4.7","13"
"13","481389","흥부찜닭by놀부-선릉역점","4.6","14"
"14","484483","놀부옛날통닭-선릉점","4.7","15"
"15","483815","놀부부대찌개-삼성1호점","4.8","16"
"16","316896","파스쿠찌-선정릉역점","4.8","17"
"17","460938","PB델리-강남구청카페점","5.0","18"
"18","318014","도미노피자-삼성점","4.7","19"
"19","446515","매드포갈릭-봉은사아이파크타워점","4.5","20"
"20","501379","빕스얌딜리버리-삼성점","4.7","21"
"21","229952","파파존스피자-청담점","4.6","22"
"22","230122","미스터피자-청담점","4.6","23"
"23","235480","페리카나-강남구청점","4.6","24"
"24","225032","굽네치킨&피자-청담점","4.7","25"
"25","307832","파리크라상-삼성역키친점","4.8","26"
"26","448645","김충기꽃삼겹-강남점","4.8","27"
"27","495344","놀부보쌈족발-논현점","4.9","28"
"28","498721","에그슬럿-코엑스점","4.6","29"
"29","502948","두마리찜닭두찜-삼성점","4.8","30"
"30","287957","계절밥상-코엑스몰점","4.3","31"
"31","581086","최고남제육명가-강남1호점","4.8","32"
"32","557825","원할머니보쌈-강남구청배달점","4.7","33"
"33","496199","치킨플러스-대치점","4.9","34"
"34","572244","고피자-삼성1호점","4.8","35"
"35","567345","곱떡치떡-역삼점","5.0","36"
"36","568297","에그드랍-역삼직영점","4.8","37"
"37","567725","찜꽁찜닭-역삼점","5.0","38"
"38","410873","CU-삼성현대점","5.0","39"
"39","528245","떡참떡볶이참잘하는집-신사점","4.4","40"
"40","566527","세븐일레븐-강남청담점","0.0","41"
"41","521356","맘스터치-삼성중앙역점","4.5","42"
"42","1021942","유로코피자-강남1호점","0.0","43"
"43","558270","떡볶이도맛있는치킨플러스-대치점","4.8","44"
"44","1016718","GSTHEFRESH-대치사거리점","5.0","45"
"45","362457","카페베네-선릉역점","3.5","46"
"46","522479","부어치킨-논현점","4.3","47"
"47","428492","비스트로피자-강남1호점","4.9","48"
"48","300260","강남옛날돈까스즉석떡볶이","4.6","49"
"49","23354","현경(본점)","4.1","50"
"50","1024711","스킨푸드-도산점","0.0","51"
"51","285886","스쿨푸드-논현점","4.6","52"
"52","505779","가유카페-강남점","4.9","53"
"53","24025","일공중식","4.5","54"
"54","492041","카페레이어&베이커리","4.9","55"
"55","1020274","스모크키친-강남점","5.0","56"
"56","462893","파스토보이-역삼점","4.8","57"
"57","279650","두레반돼지국밥","4.7","58"
"58","25138","쌈밥잘하는집","4.6","59"
"59","255310","502세컨즈카페-강남점","4.4","60"
"60","337824","혼밥대왕-강남점","4.6","61"
"61","477246","스시마이우-가로수길점","4.9","62"
"62","379480","신삼국지24시","4.4","63"
"63","423887","초밥에미친남자-강남본점","4.8","64"
"64","525802","티바두마리치킨-대치점","4.8","65"
"65","413273","기대만족-본점","4.8","66"
"66","1023337","청춘소리","0.0","67"
"67","317733","정성이가득찬집밥-강남본점","4.6","68"
"68","446400","팔공티-한티점","4.8","69"
"69","27835","46이너스피자","4.5","70"
"70","483059","인생카츠","4.8","71"
"71","431590","레이어프로젝트","4.9","72"
"72","1011961","소풍김밥-한티점","4.8","73"
"73","434578","제육대가-역삼점","4.9","74"
"74","265390","직화삼겹직구삼-강남1호점","4.7","75"
"75","299275","신화불닭-강남점","4.7","76"
"76","454243","스카이31-강남점","4.7","77"
"77","1028952","주니냉면","0.0","78"
"78","527081","카츠젠-선릉점","4.7","79"
"79","340776","오더에스프레소","4.9","80"
"0","515402","바다왕국아구찜&해물찜","4.8","1"
"1","265390","직화삼겹직구삼-강남1호점","4.7","2"
"2","272597","반올림피자샵-강남2호점","4.8","3"
"3","508204","빅스타피자강남1호점","4.8","4"
"4","365945","족보잇는국밥&밀면-역삼점","4.8","5"
"5","304060","네네치킨-대치점","4.5","6"
"6","514732","뉴욕버거앤치킨-신논현점","4.7","7"
"7","290688","파리바게뜨-강남구청카페점","4.8","8"
"8","481382","쫄면주는삼겹본능by놀부-선릉역점","4.8","9"
"9","233777","피자알볼로-대치직영점","4.7","10"
"10","359241","아웃백-삼성점","4.7","11"
"11","231137","피자헛-삼성중앙점","4.6","12"
"12","439031","또래오래-강남논현점","4.7","13"
"13","319680","치킨플러스-논현점","4.8","14"
"14","410442","호식이두마리치킨-강남논현1호점","4.7","15"
"15","481389","흥부찜닭by놀부-선릉역점","4.6","16"
"16","484483","놀부옛날통닭-선릉점","4.7","17"
"17","483815","놀부부대찌개-삼성1호점","4.8","18"
"18","316896","파스쿠찌-선정릉역점","4.8","19"
"19","460938","PB델리-강남구청카페점","5.0","20"
"20","318014","도미노피자-삼성점","4.7","21"
"21","446515","매드포갈릭-봉은사아이파크타워점","4.5","22"
"22","501379","빕스얌딜리버리-삼성점","4.7","23"
"23","229952","파파존스피자-청담점","4.6","24"
"24","230122","미스터피자-청담점","4.6","25"
"25","235480","페리카나-강남구청점","4.6","26"
