"","id","name","review_avg","rank"
"0","328378","바다왕국아귀알찜아구찜","4.7","1"
"1","357873","오늘칡냉면","4.9","2"
"2","411697","무국적식탁-천호점","4.9","3"
"3","312748","7번가피자-성내점","4.9","4"
"4","272009","스탠딩스테이크-성내점","4.7","5"
"5","241403","반올림피자샵-강동점","4.7","6"
"6","84374","호식이두마리치킨-성내점","4.6","7"
"7","258080","네오피자-강동점","4.8","8"
"8","306743","쫄면주는삼겹본능by놀부-잠실점","4.7","9"
"9","230822","미스터보쌈족발-성내점","4.5","10"
"10","214759","또래오래-송파풍납2동점","4.7","11"
"11","322968","파리바게뜨-강동구청점","4.8","12"
"12","229988","파파존스피자-강동구청점","4.6","13"
"13","232377","피자헛-성내본점","4.7","14"
"14","528112","유로코피자-잠실송파점","5.0","15"
"15","557484","치킨플러스-성내점","4.9","16"
"16","542940","두마리찜닭두찜-강동길동점","4.9","17"
"17","557487","떡볶이도맛있는치킨플러스-성내점","5.0","18"
"18","458347","PB델리-강동구청점","4.0","19"
"19","321858","도미노피자-둔촌점","4.7","20"
"20","372320","피자알볼로-둔촌성내점","4.6","21"
"21","436413","네네치킨-명일점","4.9","22"
"22","383707","피자에땅-암사점","4.6","23"
"23","1009926","흥부찜닭by놀부-잠실직영점","4.9","24"
"24","36853","페리카나-성내동점","4.6","25"
"25","546215","빅스타피자-강동점","4.9","26"
"26","385311","원할머니보쌈-성내배달점","4.7","27"
"27","276361","돈까스퐁당떡볶이공수간-잠실점","4.5","28"
"28","245605","놀부부대찌개-길동점","4.7","29"
"29","549595","미스터피자-둔촌성내점","4.9","30"
"30","1005143","놀부옛날통닭-천호로데오점","4.9","31"
"31","306742","놀부보쌈족발-잠실점","4.5","32"
"32","474301","맘스터치-송파풍납점","4.7","33"
"33","343935","CU-강동성내로점","4.7","34"
"34","575288","직화삼겹직구삼-강동점","4.8","35"
"35","444545","세븐일레븐-성내삼성점","4.0","36"
"36","560158","아웃백-강동점","4.9","37"
"37","332885","에그드랍-잠실점","4.6","38"
"38","1010330","파스쿠찌-천호로데오점","5.0","39"
"39","5986","굽네치킨&피자-풍납1호점","4.7","40"
"40","566260","제일제면소-강동점","4.7","41"
"41","566240","빕스얌딜리버리-강동점","4.9","42"
"42","1005124","최고남제육명가-강동점","4.9","43"
"43","557629","곱떡치떡-강동점","4.8","44"
"44","268542","컬투치킨-암사점","4.6","45"
"45","1014293","고피자-방이점","4.9","46"
"46","220433","박가부대-암사점","3.8","47"
"47","557632","찜꽁찜닭-강동점","4.4","48"
"48","1015525","치킨더홈-강동명일점","4.9","49"
"49","304560","아빠곱창","4.8","50"
"50","312748","7번가피자-성내점","4.9","51"
"51","373503","버섯잔치집-본점","4.9","52"
"52","1026735","오쿡비빔밥","5.0","53"
"53","214905","공수간-천호로데오점","4.5","54"
"54","290640","지코바-천호1호점","4.8","55"
"55","304561","혼자도돼지-강동점","4.8","56"
"56","479014","타짜","4.8","57"
"57","1002677","꾸아-송파점","0.0","58"
"58","520984","면THE빱-강동점","4.8","59"
"59","272009","스탠딩스테이크-성내점","4.7","60"
"60","310130","로꼬타코-천호역점","4.9","61"
"61","315703","맥도날드-서울둔촌DT점","4.6","62"
"62","397506","한촌설렁탕-강동점","4.8","63"
"63","1003865","샤이로플","5.0","64"
"64","378430","만리장성-성내점","4.8","65"
"65","328378","바다왕국아귀알찜아구찜","4.7","66"
"66","258080","네오피자-강동점","4.8","67"
"67","261404","KFC-천호역점","4.5","68"
"68","1027164","짜장면-길동본점","0.0","69"
"69","36176","중화반점","4.6","70"
"70","347697","집밥으로우주정복-강동점","4.8","71"
"71","361850","쌀똑핫도그-천호점","4.9","72"
"72","430872","차고집칡냉면&돈까스","4.9","73"
"73","443919","야미떡볶이분식&로제떡볶이","4.9","74"
"74","495311","여수동갈매기-천호점","4.8","75"
"75","316073","족발야시장-암사점","4.9","76"
"76","241403","반올림피자샵-강동점","4.7","77"
"77","411697","무국적식탁-천호점","4.9","78"
"78","505978","효재만두","4.8","79"
"79","1022774","카페807","5.0","80"
"0","328378","바다왕국아귀알찜아구찜","4.8","1"
"1","357873","오늘칡냉면","4.9","2"
