"","id","name","review_avg","rank"
"0","58269","네네치킨-번동점","4.8","1"
"1","497783","김준현의피자헤븐-강북점","4.9","2"
"2","237367","반올림피자샵-강북구점","4.8","3"
"3","435989","두마리찜닭두찜-강북수유점","4.9","4"
"4","400488","굽네치킨&피자-창2동점","4.8","5"
"5","81490","피자알볼로-수유점","4.7","6"
"6","9748","또래오래-창동점","4.5","7"
"7","289878","파리바게뜨-강북구청점","4.9","8"
"8","316364","직화삼겹직구삼-쌍문점","4.7","9"
"9","318128","도미노피자-수유점","4.7","10"
"10","376601","파파존스피자-미아점","4.7","11"
"11","461195","PB델리-강북구청점","5.0","12"
"12","544376","떡참떡볶이참잘하는집-강북수유점","4.9","13"
"13","497157","피자헛-번동점","4.7","14"
"14","65992","페리카나-번동점","4.7","15"
"15","2613","원할머니보쌈-수유역점","4.5","16"
"16","501842","미스터피자-수유점","4.8","17"
"17","28416","멕시카나-쌍문점","4.6","18"
"18","455764","강정구의피자생각-덕성여대점","5.0","19"
"19","321667","박가부대-수유역점","4.7","20"
"20","513882","아웃백-미아삼양점","4.7","21"
"21","476484","맘스터치-수유역점","4.5","22"
"22","350974","CU-수유중앙점","4.7","23"
"23","507372","세븐일레븐-수유영준점","5.0","24"
"24","581074","최고남제육명가-쌍문점","5.0","25"
"25","307024","소확행베이커리","4.9","26"
"26","496666","구구족-쌍문역점","4.9","27"
"27","308909","꿀소담","4.7","28"
"28","1022623","혼밥대왕-수유점","4.6","29"
"29","423273","100년서서갈비","4.8","30"
"30","1538","피자글릭-강북점","4.8","31"
"31","59062","황금성","4.4","32"
"32","27019","삿포로돈까스앤스파게티","4.7","33"
"33","1020666","최강반점","4.9","34"
"34","580249","구공족발-수유점","4.8","35"
"35","264374","족발야시장-쌍문점","4.8","36"
"36","306313","고봉민김밥인-강북미아점","4.7","37"
"37","493763","송주불냉면&수제왕돈까스-수유미아점","4.9","38"
"38","396113","씅s꼬기가득비빔밥","4.9","39"
"39","256979","맘스떡볶이n컵밥-수유점","4.8","40"
"40","258022","직화삼겹직구삼-수유점","4.7","41"
"41","304657","청년피자-강북구점","4.9","42"
"42","351437","닭집에떡볶이-수유점","4.9","43"
"43","313605","맥도날드-수유점","4.6","44"
"44","1030237","엄마밥줘-쌍문점","0.0","45"
"45","443831","다온초밥-본점","4.9","46"
"46","283218","엔제리너스-수유역점","4.9","47"
"47","545581","한결보쌈-수유점","4.8","48"
"48","48761","요리왕","4.5","49"
"49","321257","지코바치킨-서울수유1호점","4.9","50"
"50","523913","담꾹-수유시장점","4.9","51"
"51","292990","옆집떡볶이-미아점","4.8","52"
"52","502787","The수제돈까스-강북점","4.9","53"
"53","377346","처갓집양념치킨-삼양점","4.8","54"
"54","58269","네네치킨-번동점","4.8","55"
"55","1028781","일미리금계찜닭-서울쌍문점","0.0","56"
"56","573157","혜자피자-본점","5.0","57"
"57","228201","24시코리아홈푸드","4.5","58"
"58","561957","뜸들이다-창동점","4.9","59"
"59","376348","두마리찜닭두찜-강북미아점","4.9","60"
"60","264582","코코라야카레","4.8","61"
"61","515470","차고집냉면-강북점","5.0","62"
"62","405237","곱창전문백곱식당-수유본점","4.8","63"
"63","497783","김준현의피자헤븐-강북점","4.9","64"
"64","237367","반올림피자샵-강북구점","4.8","65"
"65","502064","착한커피-번동점","4.9","66"
"66","1024437","집밥e선생&짜글이-강북점","5.0","67"
"67","261351","KFC-우이동점","4.5","68"
"68","555358","욕망오므라이스&돈까스-본점","5.0","69"
"69","423588","BHC-방학점","4.9","70"
"70","552046","명가족발보쌈-창동본점","4.8","71"
"71","440525","BHC-강북구청점","4.9","72"
"72","282507","파리바게뜨-카페수유역점","4.8","73"
"73","311181","두마리찜닭두찜-도봉창동점","4.9","74"
"74","534165","늘통큰감자탕-미아점","4.8","75"
"75","359433","버거킹-수유역점","4.8","76"
"76","2272","BHC-월곡점","4.9","77"
"77","1021395","왕빈자삼파전-미아점","0.0","78"
"78","9469","차우린해물짬뽕","4.3","79"
"79","255523","서오릉피자-강북점","4.9","80"
"0","310102","야한곱창-강북수유점","4.8","1"
"1","58269","네네치킨-번동점","4.8","2"
"2","440647","3가지맛투존치킨-수유점","4.9","3"
"3","497783","김준현의피자헤븐-강북점","4.9","4"
"4","237367","반올림피자샵-강북구점","4.8","5"
"5","260275","호식이두마리치킨-광산사거리점","4.7","6"
"6","435989","두마리찜닭두찜-강북수유점","4.9","7"
"7","369371","쫄면주는삼겹본능by놀부-수유점","4.8","8"
"8","37946","코리엔탈깻잎두마리치킨-미아수유점","4.7","9"
"9","369363","흥부찜닭by놀부-수유점","4.8","10"
"10","81490","피자알볼로-수유점","4.7","11"
"11","9748","또래오래-창동점","4.5","12"
"12","568467","굽네치킨&피자-번동점","5.0","13"
"13","289878","파리바게뜨-강북구청점","4.9","14"
"14","316364","직화삼겹직구삼-쌍문점","4.7","15"
"15","318128","도미노피자-수유점","4.7","16"
"16","376601","파파존스피자-미아점","4.7","17"
"17","427401","또봉이통닭-서울광산사거리점","4.8","18"
"18","461195","PB델리-강북구청점","5.0","19"
"19","544376","떡참떡볶이참잘하는집-강북수유점","4.9","20"
"20","497157","피자헛-번동점","4.7","21"
"21","2613","원할머니보쌈-수유역점","4.5","22"
"22","501842","미스터피자-수유점","4.8","23"
"23","28416","멕시카나-쌍문점","4.6","24"
"24","278549","3가지맛디디치킨-미아점","4.6","25"
"25","558957","돈치킨-수유4.19점","4.9","26"
"26","321667","박가부대-수유역점","4.7","27"
"27","513882","아웃백-미아삼양점","4.7","28"
"28","317820","부어치킨-번동점","4.8","29"
"29","476484","맘스터치-수유역점","4.5","30"
"30","571566","미스터보쌈족발-미아점","4.9","31"
"31","515364","놀부보쌈족발-수유점","4.7","32"
"32","350974","CU-수유중앙점","4.7","33"
"33","507372","세븐일레븐-수유영준점","5.0","34"
"34","455764","강정구의피자생각-덕성여대점","5.0","35"
"35","1004034","페리카나-수유점","4.8","36"
"36","536378","디디찜엔닭-미아점","4.9","37"
"37","581074","최고남제육명가-쌍문점","5.0","38"
"38","1028752","찜꽁찜닭-방학점","0.0","39"
"39","1028749","곱떡치떡-방학점","0.0","40"
"40","307024","소확행베이커리","4.9","41"
"41","496666","구구족-쌍문역점","4.9","42"
"42","241149","닭치GO","4.8","43"
"43","1024031","바로덮밥","4.9","44"
"44","292990","옆집떡볶이-미아점","4.8","45"
"45","258684","족발야시장-수유역점","4.8","46"
"46","1538","피자글릭-강북점","4.8","47"
"47","59062","황금성","4.4","48"
"48","1019255","보나뻬띠브레드","0.0","49"
"49","573157","혜자피자-본점","5.0","50"
"50","27019","삿포로돈까스앤스파게티","4.7","51"
"51","264374","족발야시장-쌍문점","4.8","52"
"52","329018","호가네곱창","4.8","53"
"53","580249","구공족발-수유점","4.8","54"
"54","256979","맘스떡볶이n컵밥-수유점","4.8","55"
"55","258022","직화삼겹직구삼-수유점","4.7","56"
"56","304657","청년피자-강북구점","4.9","57"
"57","287629","걸작떡볶이치킨-쌍문창동점","4.8","58"
"58","313605","맥도날드-수유점","4.6","59"
"59","1023540","육회먹은꼬막&반반비빔밥-직영1호점","5.0","60"
"60","283218","엔제리너스-수유역점","4.9","61"
"61","48761","요리왕","4.5","62"
"62","293732","이삭토스트-수유역점","4.9","63"
"63","321257","지코바치킨-서울수유1호점","4.9","64"
"64","523913","담꾹-수유시장점","4.9","65"
"65","423273","100년서서갈비","4.8","66"
"66","214575","네네치킨-수유2점","4.8","67"
"67","502787","The수제돈까스-강북점","4.9","68"
"68","377346","처갓집양념치킨-삼양점","4.8","69"
"69","58269","네네치킨-번동점","4.8","70"
"70","1022937","푸지미아지매낙곱새-강북점","0.0","71"
"71","228201","24시코리아홈푸드","4.5","72"
"72","308909","꿀소담","4.7","73"
"73","440647","3가지맛투존치킨-수유점","4.9","74"
"74","561957","뜸들이다-창동점","4.9","75"
"75","376348","두마리찜닭두찜-강북미아점","4.9","76"
"76","264582","코코라야카레","4.8","77"
"77","515470","차고집냉면-강북점","5.0","78"
"78","423210","치탈리아-본점","4.9","79"
"79","516442","국내산황금쓴메밀냉면전문점의령소바","4.9","80"
"0","369371","쫄면주는삼겹본능by놀부-수유점","4.8","1"
"1","359433","버거킹-수유역점","4.8","2"
"2","58269","네네치킨-번동점","4.8","3"
"3","260275","호식이두마리치킨-광산사거리점","4.7","4"
"4","369363","흥부찜닭by놀부-수유점","4.8","5"
"5","480766","뚜레쥬르-카페수유역점","4.8","6"
"6","435989","두마리찜닭두찜-강북수유점","4.9","7"
"7","9748","또래오래-창동점","4.5","8"
"8","309491","투썸플레이스-수유사거리점","4.7","9"
"9","316364","직화삼겹직구삼-쌍문점","4.7","10"
"10","318128","도미노피자-수유점","4.7","11"
"11","376601","파파존스피자-미아점","4.7","12"
"12","461195","PB델리-강북구청점","5.0","13"
"13","544376","떡참떡볶이참잘하는집-강북수유점","4.9","14"
"14","497157","피자헛-번동점","4.7","15"
"15","65992","페리카나-번동점","4.7","16"
"16","2613","원할머니보쌈-수유역점","4.5","17"
"17","501842","미스터피자-수유점","4.8","18"
"18","278549","3가지맛디디치킨-미아점","4.6","19"
"19","321667","박가부대-수유역점","4.7","20"
"20","513882","아웃백-미아삼양점","4.7","21"
"21","476484","맘스터치-수유역점","4.5","22"
"22","515364","놀부보쌈족발-수유점","4.7","23"
"23","436996","삼첩분식-서울수유점","4.7","24"
"24","350974","CU-수유중앙점","4.7","25"
"25","455764","강정구의피자생각-덕성여대점","5.0","26"
"26","536378","디디찜엔닭-미아점","4.9","27"
"27","581074","최고남제육명가-쌍문점","5.0","28"
"28","579514","볶찜-도봉방학점","4.8","29"
"29","307024","소확행베이커리","4.9","30"
"30","1538","피자글릭-강북점","4.8","31"
"31","59062","황금성","4.4","32"
"32","1025786","동궁찜닭-수유미아점","0.0","33"
"33","423273","100년서서갈비","4.8","34"
"34","27019","삿포로돈까스앤스파게티","4.7","35"
"35","264374","족발야시장-쌍문점","4.8","36"
"36","256979","맘스떡볶이n컵밥-수유점","4.8","37"
"37","1025180","파스타미식당","5.0","38"
"38","573157","혜자피자-본점","5.0","39"
"39","258022","직화삼겹직구삼-수유점","4.7","40"
"40","304657","청년피자-강북구점","4.9","41"
"41","313605","맥도날드-수유점","4.6","42"
"42","580249","구공족발-수유점","4.8","43"
"43","283218","엔제리너스-수유역점","4.9","44"
"44","48761","요리왕","4.5","45"
"45","321257","지코바치킨-서울수유1호점","4.9","46"
"46","396113","씅s꼬기가득비빔밥","4.9","47"
"47","523913","담꾹-수유시장점","4.9","48"
"48","1030065","삼거리시장국수-쌍문점","5.0","49"
"49","292990","옆집떡볶이-미아점","4.8","50"
"50","502787","The수제돈까스-강북점","4.9","51"
"51","253332","옐로우피자","4.9","52"
"52","496666","구구족-쌍문역점","4.9","53"
"53","228201","24시코리아홈푸드","4.5","54"
"54","308909","꿀소담","4.7","55"
"55","561957","뜸들이다-창동점","4.9","56"
"56","369371","쫄면주는삼겹본능by놀부-수유점","4.8","57"
"57","376348","두마리찜닭두찜-강북미아점","4.9","58"
"58","264582","코코라야카레","4.8","59"
"59","1020361","컴포즈커피-미아점","0.0","60"
"60","515470","차고집냉면-강북점","5.0","61"
"61","405237","곱창전문백곱식당-수유본점","4.8","62"
"62","237367","반올림피자샵-강북구점","4.8","63"
"63","443831","다온초밥-본점","4.9","64"
"64","261351","KFC-우이동점","4.5","65"
"65","555358","욕망오므라이스&돈까스-본점","5.0","66"
"66","423588","BHC-방학점","4.9","67"
"67","502320","가오리떡볶이","4.8","68"
"68","440525","BHC-강북구청점","4.9","69"
"69","282507","파리바게뜨-카페수유역점","4.8","70"
"70","1027765","역대짬뽕-수유점","5.0","71"
"71","311181","두마리찜닭두찜-도봉창동점","4.9","72"
"72","534165","늘통큰감자탕-미아점","4.8","73"
"73","359433","버거킹-수유역점","4.8","74"
"74","2272","BHC-월곡점","4.9","75"
"75","9469","차우린해물짬뽕","4.3","76"
"76","255523","서오릉피자-강북점","4.9","77"
"77","416131","율덮밥카페","4.8","78"
"78","287629","걸작떡볶이치킨-쌍문창동점","4.8","79"
"79","346911","육회&연어-미아본점","4.8","80"
"0","497783","김준현의피자헤븐-강북점","4.9","1"
"1","359433","버거킹-수유역점","4.8","2"
"2","58269","네네치킨-번동점","4.8","3"
"3","435989","두마리찜닭두찜-강북수유점","4.9","4"
"4","480766","뚜레쥬르-카페수유역점","4.8","5"
"5","9748","또래오래-창동점","4.5","6"
"6","309491","투썸플레이스-수유사거리점","4.7","7"
"7","316364","직화삼겹직구삼-쌍문점","4.7","8"
"8","376601","파파존스피자-미아점","4.7","9"
"9","318128","도미노피자-수유점","4.7","10"
"10","461195","PB델리-강북구청점","5.0","11"
"11","544376","떡참떡볶이참잘하는집-강북수유점","4.9","12"
"12","497157","피자헛-번동점","4.7","13"
"13","65992","페리카나-번동점","4.7","14"
"14","2613","원할머니보쌈-수유역점","4.5","15"
"15","278549","3가지맛디디치킨-미아점","4.6","16"
"16","1003229","걸작떡볶이치킨-수유점","4.9","17"
"17","501842","미스터피자-수유점","4.8","18"
"18","455764","강정구의피자생각-덕성여대점","5.0","19"
"19","321667","박가부대-수유역점","4.7","20"
"20","513882","아웃백-미아삼양점","4.7","21"
"21","476484","맘스터치-수유역점","4.5","22"
"22","350974","CU-수유중앙점","4.7","23"
"23","400726","빕스얌딜리버리-미아점","4.5","24"
"24","536378","디디찜엔닭-미아점","4.9","25"
"25","581074","최고남제육명가-쌍문점","5.0","26"
"26","579514","볶찜-도봉방학점","4.8","27"
"27","307024","소확행베이커리","4.9","28"
"28","496666","구구족-쌍문역점","4.9","29"
"29","308909","꿀소담","4.7","30"
"30","1026197","정음지음-김치요리전문점","4.9","31"
"31","423273","100년서서갈비","4.8","32"
"32","1538","피자글릭-강북점","4.8","33"
"33","59062","황금성","4.4","34"
"34","27019","삿포로돈까스앤스파게티","4.7","35"
"35","1019299","알엔비스커피","0.0","36"
"36","573157","혜자피자-본점","5.0","37"
"37","306313","고봉민김밥인-강북미아점","4.7","38"
"38","264374","족발야시장-쌍문점","4.8","39"
"39","493763","송주불냉면&수제왕돈까스-수유미아점","4.9","40"
"40","396113","씅s꼬기가득비빔밥","4.9","41"
"41","256979","맘스떡볶이n컵밥-수유점","4.8","42"
"42","258022","직화삼겹직구삼-수유점","4.7","43"
"43","304657","청년피자-강북구점","4.9","44"
"44","253332","옐로우피자","4.9","45"
"45","313605","맥도날드-수유점","4.6","46"
"46","1024031","바로덮밥","4.9","47"
"47","283218","엔제리너스-수유역점","4.9","48"
"48","48761","요리왕","4.5","49"
"49","545581","한결보쌈-수유점","4.8","50"
"50","321257","지코바치킨-서울수유1호점","4.9","51"
"51","523913","담꾹-수유시장점","4.9","52"
"52","292990","옆집떡볶이-미아점","4.8","53"
"53","502787","The수제돈까스-강북점","4.9","54"
"54","228201","24시코리아홈푸드","4.5","55"
"55","561957","뜸들이다-창동점","4.9","56"
"56","376348","두마리찜닭두찜-강북미아점","4.9","57"
"57","1023160","광명족발-본점","5.0","58"
"58","515470","차고집냉면-강북점","5.0","59"
"59","264582","코코라야카레","4.8","60"
"60","516442","국내산황금쓴메밀냉면전문점의령소바","4.9","61"
"61","405237","곱창전문백곱식당-수유본점","4.8","62"
"62","497783","김준현의피자헤븐-강북점","4.9","63"
"63","237367","반올림피자샵-강북구점","4.8","64"
"64","502064","착한커피-번동점","4.9","65"
"65","261351","KFC-우이동점","4.5","66"
"66","555358","욕망오므라이스&돈까스-본점","5.0","67"
"67","423588","BHC-방학점","4.9","68"
"68","1025586","전국5대직화교동짬뽕","5.0","69"
"69","552046","명가족발보쌈-창동본점","4.8","70"
"70","502320","가오리떡볶이","4.8","71"
"71","440525","BHC-강북구청점","4.9","72"
"72","282507","파리바게뜨-카페수유역점","4.8","73"
"73","311181","두마리찜닭두찜-도봉창동점","4.9","74"
"74","359433","버거킹-수유역점","4.8","75"
"75","2272","BHC-월곡점","4.9","76"
"76","9469","차우린해물짬뽕","4.3","77"
"77","255523","서오릉피자-강북점","4.9","78"
"78","416131","율덮밥카페","4.8","79"
"79","1025737","전골의법칙-강북점","0.0","80"
"0","310102","야한곱창-강북수유점","4.8","1"
