"","id","name","review_avg","rank"
"0","486930","백종원의돌배기집-강서구청점","4.8","1"
"1","230297","BHC-강서구청점","4.6","2"
"2","566021","무국적식탁-화곡점","4.9","3"
"3","238818","반올림피자샵-화곡목동점","4.7","4"
"4","248779","직화삼겹직구삼-강서점","4.7","5"
"5","287791","빕스얌딜리버리-등촌점","4.8","6"
"6","238818","반올림피자샵-화곡목동점","4.7","7"
"7","316455","흥부찜닭by놀부-화곡점","4.8","8"
"8","30774","뽕뜨락피자-화곡신월점","4.7","9"
"9","316458","쫄면주는삼겹본능by놀부-화곡점","4.7","10"
"10","316252","네오피자-서울강서점","4.9","11"
"11","231572","피자헛-화곡점","4.6","12"
"12","34370","또래오래-등촌가양점","4.7","13"
"13","408483","스탠딩스테이크-목동점","4.8","14"
"14","242565","빅스타피자-서울강서점","4.5","15"
"15","244201","네네치킨-등촌2점","4.7","16"
"16","516142","뉴욕버거앤치킨-등촌점","4.8","17"
"17","503812","파리바게뜨-강서하이웨이점","4.9","18"
"18","310665","피자알볼로-가양점","4.8","19"
"19","268534","파파존스피자-염창점","4.6","20"
"20","408459","미스터보쌈족발-목동점","4.7","21"
"21","319556","도미노피자-강서구청점","4.8","22"
"22","523746","7번가피자-화곡목동점","4.8","23"
"23","354745","굽네치킨&피자-우장산동점","4.7","24"
"24","555826","코리엔탈깻잎두마리치킨-발산점","4.8","25"
"25","543885","떡참떡볶이참잘하는집-강서마곡점","4.8","26"
"26","324315","페리카나-발산동점","4.7","27"
"27","481503","멕시카나-강서마곡점","4.7","28"
"28","504884","PB델리-강서하이웨이점","0.0","29"
"29","316461","돈까스퐁당떡볶이공수간-화곡점","4.6","30"
"30","463762","아웃백-등촌점","4.7","31"
"31","58697","원할머니보쌈-등촌점","4.4","32"
"32","446380","매드포갈릭-발산점","4.7","33"
"33","245485","박가부대-마곡힐스테이트에코점","4.7","34"
"34","1007031","미스터피자-발산점","4.7","35"
"35","1017859","놀부부대찌개-화곡점","5.0","36"
"36","316448","놀부옛날통닭-화곡점","4.4","37"
"37","420201","에그드랍-양천향교역점","4.7","38"
"38","514563","고피자-등촌역점","4.9","39"
"39","336381","파스쿠찌-이대서울병원점","4.9","40"
"40","347528","CU-강서아이파크점","4.9","41"
"41","542821","맘스터치-강서구청점","4.6","42"
"42","503440","두마리찜닭두찜-양천목동2호점","4.9","43"
"43","557829","곱떡치떡-강서구청점","5.0","44"
"44","558605","찜꽁찜닭-강서구청점","0.0","45"
"45","213886","놀부보쌈족발-등촌역점","4.3","46"
"46","444650","세븐일레븐-강서화곡로점","5.0","47"
"47","581114","최고남제육명가-강서점","4.9","48"
"48","1012896","족보잇는국밥&밀면-목동점","4.9","49"
"49","1023318","피자에땅-신정점","5.0","50"
"50","402567","벌떡떡볶이-마곡점","4.9","51"
"51","344676","별쭈부전","4.8","52"
"52","258810","매운국물떡볶이밀방떡-본점","4.8","53"
"53","1027197","밀스토랑","5.0","54"
"54","234569","매향-본점","4.7","55"
"55","535716","원조기사식당","4.8","56"
"56","248779","직화삼겹직구삼-강서점","4.7","57"
"57","245487","스쿨푸드-화곡역딜리버리점","4.6","58"
"58","1018694","마라남녀","0.0","59"
"59","255764","스시ANN","4.7","60"
"60","287791","빕스얌딜리버리-등촌점","4.8","61"
"61","238818","반올림피자샵-화곡목동점","4.7","62"
"62","502701","커피향바람에날리고","4.7","63"
"63","354951","배달우삼겹우된장-화곡점","4.8","64"
"64","250236","던킨-화곡역점","4.8","65"
"65","333740","홍콩반점0410-화곡역점","4.8","66"
"66","515823","뚜스뚜스-등촌점","4.9","67"
"67","291184","열정분식소-강서점","4.8","68"
"68","296442","파리바게뜨-화곡역점","4.9","69"
"69","1024793","뜸들이다-화곡점","0.0","70"
"70","508078","조금특별한파스타","4.9","71"
"71","334746","떡순튀-화곡점","4.7","72"
"72","180","피제이피자","4.7","73"
"73","436455","토끼정-마곡점","4.8","74"
"74","291853","24시만리장성-화곡동","4.5","75"
"75","359260","육전면사무소-마곡점","4.8","76"
"76","524370","헤비스테이크-마곡점","4.9","77"
"77","408881","벚꽃스시-신정점","4.8","78"
"78","505116","오유미당-마곡점","4.8","79"
"79","303014","팔동튀김&떡볶이","4.8","80"
"0","486930","백종원의돌배기집-강서구청점","4.8","1"
"1","230297","BHC-강서구청점","4.6","2"
"2","566021","무국적식탁-화곡점","4.9","3"
"3","558108","웅이네오돌뼈닭발도-마곡동점","4.9","4"
"4","238818","반올림피자샵-화곡목동점","4.7","5"
"5","248779","직화삼겹직구삼-강서점","4.7","6"
"6","519246","코리엔탈깻잎두마리치킨-화곡점","5.0","7"
"7","238818","반올림피자샵-화곡목동점","4.7","8"
"8","316455","흥부찜닭by놀부-화곡점","4.8","9"
