"","id","name","review_avg","rank"
"0","241478","반올림피자샵-봉천점","4.8","1"
"1","530919","고기반햄반김치찌개-신림점","4.9","2"
"2","377068","쫄면주는삼겹본능by놀부-신림점","4.9","3"
"3","429054","직화삼겹직구삼-신관악점","4.8","4"
"4","376996","흥부찜닭by놀부-신림점","4.8","5"
"5","241478","반올림피자샵-봉천점","4.8","6"
"6","291048","파리바게뜨-서울대샤로수길점","4.8","7"
"7","296134","미스터보쌈족발-낙성대점","4.8","8"
"8","514355","7번가피자-서울대입구점","5.0","9"
"9","404442","아웃백-관악점","4.7","10"
"10","231265","피자헛-서울대본점","4.6","11"
"11","553593","코리엔탈깻잎두마리치킨-낙성대점","4.9","12"
"12","235560","파파존스피자-봉천점","4.6","13"
"13","577247","치킨플러스-봉천점","5.0","14"
"14","370678","부어치킨-봉천중앙시장점","4.8","15"
"15","263371","굽네치킨&피자-은천점","4.7","16"
"16","377011","돈까스퐁당떡볶이공수간-신림점","4.8","17"
"17","386253","족보잇는국밥&밀면-봉천점","4.9","18"
"18","248551","피자알볼로-신림점","4.7","19"
"19","577248","떡볶이도맛있는치킨플러스-봉천점","5.0","20"
"20","319384","도미노피자-낙성대점","4.7","21"
"21","454256","GSTHEFRESH-관악점","4.7","22"
"22","507336","두마리찜닭두찜-관악성현점","4.9","23"
"23","219287","놀부보쌈족발-남성점","4.5","24"
"24","303217","네네치킨-봉천현대점","4.7","25"
"25","459847","PB델리-서울대점","5.0","26"
"26","565106","최고남제육명가-신관악점","4.6","27"
"27","422474","미스터피자-서울대점","4.6","28"
"28","546549","제일제면소-관악점","4.7","29"
"29","444084","호식이두마리치킨-행운점","4.8","30"
"30","217289","원할머니보쌈-봉천점","4.4","31"
"31","533725","빕스얌딜리버리-관악점","4.8","32"
"32","574896","고피자-봉천점","4.7","33"
"33","460184","호치킨-은천초교점","4.6","34"
"34","229910","놀부부대찌개-남성점","4.6","35"
"35","477664","나뚜루-신림중앙점","4.8","36"
"36","534864","떡참떡볶이참잘하는집-관악보라매점","4.8","37"
"37","464321","세븐일레븐-관악구청점","5.0","38"
"38","1021156","곱떡치떡-봉천점","5.0","39"
"39","332790","박가부대-봉천점","4.7","40"
"40","1021160","찜꽁찜닭-봉천점","0.0","41"
"41","329064","CU-관악구청점","4.8","42"
"42","1027700","맘스터치-봉천현대시장점","4.5","43"
"43","1028134","홍식당-관악점","4.9","44"
"44","1028131","두툼바삭가츠-관악점","4.9","45"
"45","1028127","연어로운-관악점","4.8","46"
"46","508296","제육천재-본점","4.9","47"
"47","318220","엉터리순대국","4.8","48"
"48","285852","여기는카페다 서울대입구점","4.8","49"
"49","1030804","카츠서울-신림점","0.0","50"
"50","307034","스쿨푸드-서울대입구역점","4.7","51"
"51","370615","싸움의고수-서울대입구역점","4.7","52"
"52","331230","포도나무김밥","4.8","53"
