"","id","name","review_avg","rank"
"0","436225","뽕잎사랑-건대스타시티점","4.9","1"
"1","541047","무국적식탁-광진점","4.8","2"
"2","235854","반올림피자샵-자양성수점","4.7","3"
"3","287504","호식이두마리치킨-화양점","4.5","4"
"4","295931","빅스타피자-서울건대점","4.7","5"
"5","290728","파리바게뜨-광진구청점","4.7","6"
"6","577053","유로코피자-건대점","5.0","7"
"7","378694","아웃백-건대입구점","4.8","8"
"8","302801","멕시카나-구의점","4.8","9"
"9","230761","7번가피자-구의점","4.8","10"
"10","231147","피자헛-화양2호점","4.5","11"
"11","287577","빕스얌딜리버리-어린이대공원점","4.4","12"
"12","229956","파파존스피자-성수건대점","4.6","13"
"13","246831","나뚜루-건대스타시티점","4.6","14"
"14","319857","도미노피자-자양점","4.8","15"
"15","563317","고피자-건대점","4.7","16"
"16","495724","두마리찜닭두찜-광진구의점","4.7","17"
"17","404535","쫄면주는삼겹본능by놀부-구의점","4.8","18"
"18","28737","페리카나-자양1점","4.7","19"
"19","579911","굽네치킨&피자-자양점","4.9","20"
"20","225655","박가부대-성수코오롱디지털밸리점","4.7","21"
"21","371857","코리엔탈깻잎두마리치킨-광진점","4.7","22"
"22","404577","돈까스퐁당떡볶이공수간-구의점","4.8","23"
"23","461750","PB델리-광진구청점","0.0","24"
"24","2523","미스터피자-대공원점","4.5","25"
"25","426762","놀부부대찌개-건대스타시티점","4.7","26"
"26","404517","흥부찜닭by놀부-구의점","4.7","27"
"27","446500","매드포갈릭-건대스타시티점","4.3","28"
"28","527837","에그드랍-성수역점","4.6","29"
"29","2918","피자알볼로-구의점","4.7","30"
"30","559674","곱떡치떡-송정점","5.0","31"
"31","558653","찜꽁찜닭-송정점","0.0","32"
"32","217199","원할머니보쌈-구의역점","4.5","33"
"33","511243","GSTHEFRESH-광진화양점","4.6","34"
"34","566642","떡참떡볶이참잘하는집-광진광장점","4.9","35"
"35","489963","파스쿠찌-구의강변점","5.0","36"
"36","410254","CU-광진구청점","5.0","37"
"37","580948","세븐일레븐-구의3호점","0.0","38"
"38","1027803","홍식당-광진화양점","4.9","39"
"39","1027798","두툼바삭가츠-광진화양점","4.7","40"
"40","1027794","연어로운-광진화양점","4.9","41"
"41","307767","카츠젠-건대점","4.8","42"
"42","7132","요리왕","4.3","43"
"43","405486","동성관-자양점","4.7","44"
"44","1026195","천희밥상","1.0","45"
"45","452614","피자탑-건대점","4.9","46"
"46","254883","버거킹-건대입구역점","4.6","47"
"47","275061","스쿨푸드-자양딜리버리점","4.7","48"
"48","535740","그리네","4.9","49"
"49","1021763","망향비빔국수-구의점","5.0","50"
"50","277665","직화구이통삼겹","4.7","51"
"51","249743","인정국물떡볶이-성수화양점","4.7","52"
"52","325642","싸움의고수-건대점","4.6","53"
"53","318247","미스사이공-세종대점","4.8","54"
"54","363231","집밥으로우주정복","4.8","55"
"55","500097","춘리마라탕-구의점","4.9","56"
"56","4597","장수장충동왕족발보쌈","4.8","57"
"57","568773","멕시카나-화양점","4.9","58"
"58","434573","혼밥대왕-건대점","4.8","59"
"59","443038","처갓집양념치킨-구의광장점","4.9","60"
"60","1022221","매운향솥마라샹궈마라탕-건대점","5.0","61"
"61","250260","배달삼겹돼지되지-구의점","4.8","62"
"62","275773","처갓집양념치킨-구의자양점","4.7","63"
"63","504384","거기시켜덮밥&간식-성수점","4.9","64"
"64","378230","스시교센","4.9","65"
"65","261386","KFC-세종대점","4.5","66"
"66","235854","반올림피자샵-자양성수점","4.7","67"
"67","495264","BHC-자양행복점","4.9","68"
"68","422249","마라하오-광진점","4.9","69"
"69","297266","호니도니돈카츠&메밀-자양성수점","4.8","70"
"70","331933","배달삼겹고기가땡길때","4.9","71"
"71","1023973","차이나금비","0.0","72"
"72","308658","팀스쿡","4.8","73"
"73","430482","샐러드로우","4.8","74"
"74","2963","복만루","4.5","75"
"75","564109","인생족발-군자딜리버리점","4.9","76"
"76","287504","호식이두마리치킨-화양점","4.5","77"
"77","301617","BHC-화양점","4.4","78"
"78","429812","마담순살떡볶이-광진점","4.9","79"
"79","355621","홍콩반점0410-건대입구역점","4.7","80"
"0","436225","뽕잎사랑-건대스타시티점","4.9","1"
"1","541047","무국적식탁-광진점","4.8","2"
"2","295931","빅스타피자-서울건대점","4.7","3"
"3","528214","치킨더홈-광진화양점","5.0","4"
"4","290728","파리바게뜨-광진구청점","4.7","5"
"5","577053","유로코피자-건대점","5.0","6"
"6","378694","아웃백-건대입구점","4.8","7"
"7","300814","또래오래-자양점","4.7","8"
"8","230761","7번가피자-구의점","4.8","9"
"9","231147","피자헛-화양2호점","4.5","10"
"10","401268","굽네치킨&피자-구의1동점","4.9","11"
"11","229956","파파존스피자-성수건대점","4.6","12"
"12","246831","나뚜루-건대스타시티점","4.6","13"
"13","319857","도미노피자-자양점","4.8","14"
"14","563317","고피자-건대점","4.7","15"
"15","302801","멕시카나-구의점","4.8","16"
"16","495724","두마리찜닭두찜-광진구의점","4.7","17"
"17","404535","쫄면주는삼겹본능by놀부-구의점","4.8","18"
"18","250615","페리카나-자양3점","4.8","19"
