"","id","name","review_avg","rank"
"0","247081","미스터보쌈족발-신도림점","4.8","1"
"1","217165","네네치킨-구로1점","4.8","2"
"2","544898","멕시카나-대림점","4.7","3"
"3","255828","직화삼겹직구삼-구로신도림점","4.6","4"
"4","321008","치킨플러스-구로점","4.8","5"
"5","239704","반올림피자샵-구로대림점","4.7","6"
"6","239564","빅스타피자-서울구로점","4.7","7"
"7","57259","7번가피자-구로.가산디지털단지점","4.7","8"
"8","313511","유로코피자-구로점","4.9","9"
"9","421757","아웃백-구로점","4.7","10"
"10","291032","파리바게뜨-구로구청점","4.8","11"
"11","36781","피자알볼로-구로점","4.8","12"
"12","230005","파파존스피자-구로점","4.5","13"
"13","387800","굽네치킨&피자-구로5동점","4.8","14"
"14","26923","페리카나-대림역점","4.6","15"
"15","487788","나뚜루-구로디지털역점","4.4","16"
"16","524486","뉴욕버거앤치킨-구로점","4.7","17"
"17","328456","피자헛-신구로점","4.6","18"
"18","37751","김준현의피자헤븐-가산구로점","4.6","19"
"19","319947","도미노피자-구로점","4.7","20"
"20","565969","최고남제육명가-구로신도림점","4.1","21"
"21","485838","고피자-구로점","4.4","22"
"22","461705","PB델리-구로구청점","0.0","23"
"23","497970","두마리찜닭두찜-남구로점","4.8","24"
"24","3932","원할머니보쌈족발-대림점","4.5","25"
"25","495493","에그드랍-NC구로점","4.7","26"
"26","373701","맘스터치-구로시장점","4.8","27"
"27","504996","피자에땅-구로점","4.8","28"
"28","485360","떡볶이도맛있는치킨플러스-구로점","4.8","29"
"29","1017370","쫄면주는삼겹본능by놀부-구로점","5.0","30"
"30","1017368","놀부부대찌개-구로점","3.4","31"
"31","1006972","미스터피자-구로점","5.0","32"
"32","1017366","놀부보쌈족발-구로점","0.0","33"
"33","560876","빕스얌딜리버리-구로점","4.4","34"
"34","562108","제일제면소-구로점","4.7","35"
"35","283473","돈까스퐁당떡볶이공수간-대림썬프라자점","4.7","36"
"36","480127","CU-구로보광점","3.5","37"
"37","335430","부어치킨-목동점","4.7","38"
"38","463828","세븐일레븐-구로초원점","5.0","39"
"39","252513","박가부대-개봉점","4.2","40"
"40","253836","문래숯불돼지불백","4.8","41"
"41","282753","상하이몽-구로점","4.8","42"
"42","255062","버거킹-구로구청점","4.6","43"
"43","1013099","우리집맛","0.0","44"
"44","1327","황궁쟁반옛날손짜장","4.6","45"
"45","252026","스시앤-구로점","4.8","46"
"46","436036","제라진돈까츠-구로지밸리점","4.9","47"
"47","8717","동대문엽기떡볶이-구로점","4.7","48"
"48","1017811","최경은아구찜","0.0","49"
"49","408881","벚꽃스시-신정점","4.8","50"
"50","280997","고마워케이크by도레도레","4.8","51"
"51","286059","소풍엄지척닭강정-구로점","4.7","52"
"52","1016675","스시마와리","4.9","53"
"53","217165","네네치킨-구로1점","4.8","54"
"54","427240","청년피자-구로점","4.9","55"
"55","247081","미스터보쌈족발-신도림점","4.8","56"
"56","369084","김영태스시&사시미마을-구로점","4.8","57"
"57","84174","족발마을김족장-서울본점","4.8","58"
"58","544898","멕시카나-대림점","4.7","59"
"59","1023790","몽키떡뽀기-영등포점","5.0","60"
"60","334175","손수제비김밥요미요미","4.6","61"
"61","475467","참숯대박갈비","4.9","62"
"62","469768","스시현-가산점","4.9","63"
"63","237552","굽네치킨&피자-구로3동점","4.3","64"
"64","490592","weekandweekend","4.9","65"
"65","32395","원조정가네닭도리탕","4.4","66"
"66","347907","84양은냄비-구로점","4.7","67"
"67","398570","홍콩반점0410-구로시장점","4.8","68"
"68","1015774","호미곱도리식당","4.9","69"
"69","255828","직화삼겹직구삼-구로신도림점","4.6","70"
"70","1024088","던킨-신풍역점","4.0","71"
"71","275247","쇼부카레&라멘-본점","4.6","72"
"72","512505","제육대가-영등포점","4.9","73"
"73","502684","떡뽀끼닭-구로구청점","4.9","74"
"74","1021271","티엔중화요리전문","4.8","75"
"75","368399","빽다방-구로로제리움점","4.9","76"
"76","585266","목동명품등갈비-대림점","4.9","77"
"77","544289","강씨네삼계탕","4.6","78"
"78","384509","1인불향쭈꾸미-대림점","4.9","79"
"79","336209","더제이케이키친박스-신도림테크노마트점","4.6","80"
"0","456352","쑈궁철판구이-구로점","4.9","1"
"1","247081","미스터보쌈족발-신도림점","4.8","2"
"2","217165","네네치킨-구로1점","4.8","3"
"3","544898","멕시카나-대림점","4.7","4"
"4","255828","직화삼겹직구삼-구로신도림점","4.6","5"
"5","321008","치킨플러스-구로점","4.8","6"
"6","239704","반올림피자샵-구로대림점","4.7","7"
"7","239564","빅스타피자-서울구로점","4.7","8"
"8","57259","7번가피자-구로.가산디지털단지점","4.7","9"
"9","313511","유로코피자-구로점","4.9","10"
"10","291032","파리바게뜨-구로구청점","4.8","11"
"11","230005","파파존스피자-구로점","4.5","12"
"12","421757","아웃백-구로점","4.7","13"
"13","387800","굽네치킨&피자-구로5동점","4.8","14"
"14","26923","페리카나-대림역점","4.6","15"
"15","487788","나뚜루-구로디지털역점","4.4","16"
"16","524486","뉴욕버거앤치킨-구로점","4.7","17"
"17","328456","피자헛-신구로점","4.6","18"
"18","37751","김준현의피자헤븐-가산구로점","4.6","19"
"19","319947","도미노피자-구로점","4.7","20"
"20","485838","고피자-구로점","4.4","21"
"21","461705","PB델리-구로구청점","0.0","22"
"22","97240","뽕뜨락피자-영림초교점","4.5","23"
"23","497970","두마리찜닭두찜-남구로점","4.8","24"
"24","3932","원할머니보쌈족발-대림점","4.5","25"
"25","294464","돈치킨-구로1점","4.8","26"
"26","479069","치킨더홈-구로지벨리몰점","4.8","27"
"27","495493","에그드랍-NC구로점","4.7","28"
"28","373701","맘스터치-구로시장점","4.8","29"
"29","504996","피자에땅-구로점","4.8","30"
"30","485360","떡볶이도맛있는치킨플러스-구로점","4.8","31"
"31","473035","호식이두마리치킨-구로1호점","4.5","32"
"32","404746","또봉이통닭-서울신길점","4.8","33"
"33","1017370","쫄면주는삼겹본능by놀부-구로점","5.0","34"
"34","1017368","놀부부대찌개-구로점","3.4","35"
"35","1006972","미스터피자-구로점","5.0","36"
"36","416836","돈피자-구로1점","5.0","37"
"37","1017366","놀부보쌈족발-구로점","0.0","38"
"38","560876","빕스얌딜리버리-구로점","4.4","39"
"39","571870","떡참떡볶이참잘하는집-구로개봉점","4.8","40"
"40","562108","제일제면소-구로점","4.7","41"
"41","283473","돈까스퐁당떡볶이공수간-대림썬프라자점","4.7","42"
"42","565969","최고남제육명가-구로신도림점","4.1","43"
"43","480127","CU-구로보광점","3.5","44"
"44","335430","부어치킨-목동점","4.7","45"
"45","463828","세븐일레븐-구로초원점","5.0","46"
"46","252513","박가부대-개봉점","4.2","47"
"47","253836","문래숯불돼지불백","4.8","48"
"48","282753","상하이몽-구로점","4.8","49"
"49","255062","버거킹-구로구청점","4.6","50"
"50","1023095","스파게티스토리-대림점","5.0","51"
"51","1327","황궁쟁반옛날손짜장","4.6","52"
"52","252026","스시앤-구로점","4.8","53"
"53","8717","동대문엽기떡볶이-구로점","4.7","54"
"54","280997","고마워케이크by도레도레","4.8","55"
"55","1024088","던킨-신풍역점","4.0","56"
