"","id","name","review_avg","rank"
"0","256073","명가김밥&도시락-본점","4.6","1"
"1","484898","통큰두마리찜닭&수원왕갈비통닭-독산점","4.9","2"
"2","588115","배달삼겹삼반","4.9","3"
"3","240519","반올림피자샵-금천구점","4.7","4"
"4","245373","김준현의피자헤븐-금천점","4.9","5"
"5","454350","코리엔탈깻잎두마리치킨-금천시흥점","4.9","6"
"6","294955","피자알볼로-금천구청점","4.8","7"
"7","354455","스탠딩스테이크-독산점","4.8","8"
"8","378162","두마리찜닭두찜-광명하안점","4.9","9"
"9","491812","굽네치킨&피자-시흥5동점","4.9","10"
"10","354456","미스터보쌈족발-독산점","4.6","11"
"11","311854","파리바게뜨-금천구청역점","4.8","12"
"12","369177","쫄면주는삼겹본능by놀부-금천독산점","4.8","13"
"13","571779","떡참떡볶이참잘하는집-금천시흥점","4.9","14"
"14","319482","도미노피자-시흥점","4.7","15"
"15","86382","피자에땅-금천시흥점","4.5","16"
"16","369165","흥부찜닭by놀부-금천독산점","4.8","17"
"17","58265","원할머니보쌈-금천점","4.5","18"
"18","498808","파파존스피자-금천점","4.8","19"
"19","436989","피자헛-금천시흥점","4.8","20"
"20","281797","강정구의피자생각-금천점","4.7","21"
"21","462661","PB델리-금천구청역점","5.0","22"
"22","586753","치킨플러스-서울시흥점","5.0","23"
"23","586756","떡볶이도맛있는치킨플러스-서울시흥점","4.9","24"
"24","409096","네네치킨-금천점","4.7","25"
"25","397519","에그드랍-소하점","4.9","26"
"26","506799","본스치킨-금천구청역점","4.5","27"
"27","460535","족보잇는국밥&밀면-독산점","4.8","28"
"28","1002252","직화삼겹직구삼-금천1호점","4.8","29"
"29","2530","미스터피자-구로디지털단지역점","4.4","30"
"30","495920","맘스터치-금천시흥사거리점","4.6","31"
"31","549148","세븐일레븐-금천호정점","5.0","32"
"32","1019270","페리카나-시흥현대점","4.8","33"
"33","1002228","아웃백-가산디지털점","4.9","34"
"34","521359","CU-금천롯데캐슬2차점","5.0","35"
"35","65789","샤오차이","4.6","36"
"36","7307","취향","4.4","37"
"37","305953","베트남쌀국수미스사이공-금천시흥사거리점","4.8","38"
"38","1023969","마라타임마라탕&마라샹궈-금천점","5.0","39"
"39","557614","아구구-본점","4.9","40"
"40","360860","돈까스브라더스-금천점","4.8","41"
"41","264982","ALL리터","4.6","42"
"42","477203","구구족-본점","4.8","43"
"43","1025722","비룡중화요리","0.0","44"
"44","252026","스시앤-구로점","4.8","45"
"45","275017","KFC-독산동점","4.5","46"
"46","227753","고구려24시-본점","4.5","47"
"47","240519","반올림피자샵-금천구점","4.7","48"
"48","564746","몽s피자-금천점","4.9","49"
"49","234149","노랑통닭-광명하안점","4.7","50"
"50","341400","피자이탈리-금천점","4.9","51"
"51","245373","김준현의피자헤븐-금천점","4.9","52"
"52","521486","핵폭탄떡볶이-시흥점","4.9","53"
"53","261586","김할매묵은지김치찜","4.5","54"
"54","1024848","걸작떡볶이치킨-서울독산점","0.0","55"
"55","417347","치킨플러스-광명소하점","4.8","56"
"56","38351","야간매점","4.0","57"
"57","469768","스시현-가산점","4.9","58"
"58","318542","맥도날드-서울시흥DT점","4.6","59"
"59","454350","코리엔탈깻잎두마리치킨-금천시흥점","4.9","60"
"60","24391","한명숙피자치킨","4.7","61"
"61","452027","몽s피자","4.9","62"
"62","294955","피자알볼로-금천구청점","4.8","63"
"63","354455","스탠딩스테이크-독산점","4.8","64"
"64","524160","성윤국가대표아구찜앤알곤이찜-하안점","4.8","65"
"65","1027645","방가네소고기국밥-금천점","5.0","66"
"66","236242","동흥관","4.5","67"
"67","361917","만나네마라탕-독산점","4.9","68"
"68","36190","이석민피자-금천점","4.6","69"
"69","67988","식객도시락","3.8","70"
"70","459563","푸라닭-미성점","4.9","71"
"71","274113","김밥천국-독산점","4.4","72"
"72","397670","머슴밥짜글이","4.7","73"
"73","475843","청년피자-금천구점","4.9","74"
"74","55057","황궁쟁반짜장","4.4","75"
"75","337463","탐나종합어시장-시흥사거리본점","4.9","76"
"76","1019556","찜닭소름도닭-금천시흥점","0.0","77"
"77","383855","지코바치킨-시흥1호점","4.8","78"
"78","378162","두마리찜닭두찜-광명하안점","4.9","79"
"79","391520","지코바-독산1호점","4.9","80"
"0","484898","통큰두마리찜닭&수원왕갈비통닭-독산점","4.9","1"
"1","588115","배달삼겹삼반","4.9","2"
"2","509171","미술관-소하점","4.8","3"
"3","240519","반올림피자샵-금천구점","4.7","4"
"4","245373","김준현의피자헤븐-금천점","4.9","5"
"5","454350","코리엔탈깻잎두마리치킨-금천시흥점","4.9","6"
"6","294955","피자알볼로-금천구청점","4.8","7"
"7","354455","스탠딩스테이크-독산점","4.8","8"
"8","294099","멕시카나-시흥점","4.6","9"
"9","378162","두마리찜닭두찜-광명하안점","4.9","10"
"10","354456","미스터보쌈족발-독산점","4.6","11"
"11","311854","파리바게뜨-금천구청역점","4.8","12"
"12","369177","쫄면주는삼겹본능by놀부-금천독산점","4.8","13"
"13","571779","떡참떡볶이참잘하는집-금천시흥점","4.9","14"
"14","319482","도미노피자-시흥점","4.7","15"
"15","258907","굽네치킨&피자-독산1동점","4.8","16"
"16","86382","피자에땅-금천시흥점","4.5","17"
"17","369165","흥부찜닭by놀부-금천독산점","4.8","18"
"18","376436","부어치킨-독산2동점","4.1","19"
"19","422366","또봉이통닭-광명소하점","4.7","20"
"20","58265","원할머니보쌈-금천점","4.5","21"
"21","498808","파파존스피자-금천점","4.8","22"
"22","436989","피자헛-금천시흥점","4.8","23"
"23","281797","강정구의피자생각-금천점","4.7","24"
"24","462661","PB델리-금천구청역점","5.0","25"
"25","1004520","호식이두마리치킨-시흥1호점","4.8","26"
