"","id","name","review_avg","rank"
"0","407721","소림마라탕-노원점","4.9","1"
"1","275883","첸첸","4.6","2"
"2","10396","원할머니보쌈-수락산점","4.7","3"
"3","230364","7번가피자-상계점","4.9","4"
"4","291943","유로코피자-쌍문점","4.9","5"
"5","336718","3가지맛투존치킨-노원본점","4.9","6"
"6","289863","파리바게뜨-노원중앙점","4.8","7"
"7","2537","굽네치킨&피자-상계6.7동점","4.6","8"
"8","529079","뉴욕버거앤치킨-방학역점","4.8","9"
"9","501206","직화삼겹직구삼-노원1호점","4.9","10"
"10","252112","반올림피자샵-상계중계점","4.8","11"
"11","372955","호식이두마리치킨-중계행복점","4.8","12"
"12","388945","페리카나-상계역점","4.8","13"
"13","312567","멕시카나-중계점","4.7","14"
"14","319831","도미노피자-상계점","4.7","15"
"15","231235","피자헛-노원점","4.6","16"
"16","534871","떡참떡볶이참잘하는집-노원점","4.9","17"
"17","24834","피자에땅-중계점","4.6","18"
"18","557480","김준현의피자헤븐-상계점","4.9","19"
"19","241552","파파존스피자-노원점","4.6","20"
"20","565997","최고남제육명가-노원1호점","5.0","21"
"21","239586","원할머니보쌈-창동역점","4.7","22"
"22","461001","PB델리-노원중앙점","3.4","23"
"23","1838","피자알볼로-상계점","4.8","24"
"24","409812","호치킨-노원역점","4.8","25"
"25","2573","미스터피자-상계점","4.5","26"
"26","519365","아웃백-상계점","4.8","27"
"27","239570","박가부대-창동역점","4.7","28"
"28","557323","제일제면소-상계점","4.8","29"
"29","557320","빕스얌딜리버리-상계점","4.8","30"
"30","1011950","두마리찜닭두찜-도봉방학점","4.7","31"
"31","579768","빅스타피자-하계공릉점","4.9","32"
"32","365068","고피자-중계학원가점","4.6","33"
"33","350948","맘스터치-노원로데오점","4.6","34"
"34","328390","CU-상계3단지점","4.9","35"
"35","510874","족보잇는국밥&밀면-상계점","4.9","36"
"36","507964","세븐일레븐-노원역점","5.0","37"
"37","454318","GSTHEFRESH-상계점","4.9","38"
"38","276434","파스쿠찌-노원역점","4.8","39"
"39","497586","또래오래-노원상계점","4.9","40"
"40","1020651","네네치킨-중계2동점","4.9","41"
