"","id","name","review_avg","rank"
"0","538678","바다왕국아구찜&해물찜-장안점","4.8","1"
"1","562448","떡참떡볶이참잘하는집-동대문청량리점","5.0","2"
"2","415104","박가부대-신설동역점","4.8","3"
"3","252497","반올림피자샵-동대문구점","4.7","4"
"4","363862","미스터보쌈족발-장안점","4.8","5"
"5","231206","피자헛-전농점","4.6","6"
"6","479981","직화삼겹직구삼-왕십리점","4.8","7"
"7","363865","스탠딩스테이크-장안점","4.8","8"
"8","534713","두마리찜닭두찜-동대문청량리점","4.9","9"
"9","319788","도미노피자-고대점","4.8","10"
"10","78900","피자에땅-장안점","4.7","11"
"11","219831","네네치킨-용두1호점","4.9","12"
"12","263019","파파존스피자-제기답십리점","4.8","13"
"13","562448","떡참떡볶이참잘하는집-동대문청량리점","5.0","14"
"14","34912","페리카나-청량리점","4.6","15"
"15","241567","미스터피자-전농점","4.6","16"
"16","2676","굽네치킨&피자-용두신설점","4.6","17"
"17","473146","치킨플러스-안암점","4.9","18"
"18","289832","파리바게뜨-동대문구청점","4.8","19"
"19","461102","PB델리-동대문구청점","5.0","20"
"20","543913","호식이두마리치킨-답십리점","4.8","21"
"21","80098","강정구의피자생각-장안점","4.8","22"
"22","1020099","멕시카나-용두점","5.0","23"
"23","47521","김준현의피자헤븐-한양대점","4.6","24"
"24","425623","족보잇는국밥&밀면-왕십리직영점","4.9","25"
"25","339074","호치킨-한양대점","4.6","26"
"26","579772","쫄면주는삼겹본능by놀부-왕십리뉴타운점","4.9","27"
"27","579778","돈까스퐁당떡볶이공수간-왕십리뉴타운점","4.8","28"
"28","358123","맘스터치-홈플러스동대문점","4.4","29"
"29","532886","에그드랍-서울왕십리점","4.9","30"
"30","267033","원할머니보쌈-용답답십리점","4.7","31"
"31","464144","세븐일레븐-용두역점","5.0","32"
"32","343983","CU-용두래미안점","5.0","33"
"33","558229","곱떡치떡-장안점","4.8","34"
"34","558243","찜꽁찜닭-장안점","4.9","35"
"35","429343","흥부찜닭by놀부-정릉점","4.6","36"
"36","580703","최고남제육명가-이문휘경점","5.0","37"
"37","512355","떡볶이도맛있는치킨플러스-안암점","3.0","38"
"38","1025407","제일제면소-답십리점","0.0","39"
"39","1025402","빕스얌딜리버리-답십리점","0.0","40"
"40","497887","꼬꼬방집으로삼겹-왕십리점","4.9","41"
"41","506768","정편백","4.9","42"
"42","266407","취홍","4.4","43"
"43","1018083","서라벌식탁","5.0","44"
"44","437087","24시아바이토종순대국","4.8","45"
"45","255112","버거킹-안암오거리점","4.6","46"
"46","354433","블링블링밀크티","5.0","47"
"47","426811","베트남쌀국수미스사이공 신설동점","4.8","48"
"48","1030075","경희맛나곱창","0.0","49"
"49","213790","옐로우피자-안암점","4.7","50"
"50","296550","베트남쌀국수미쓰싸이공-외대점","4.8","51"
"51","461969","달떡볶이-답십리점","4.7","52"
"52","275541","스쿨푸드-딜리버리왕십리뉴타운점","4.5","53"
"53","478997","갈비민족-본점","4.8","54"
"54","296638","베트남쌀국수미스사이공 장안점","4.8","55"
"55","277665","직화구이통삼겹","4.7","56"
"56","261601","지코바치킨-서울청량리점","4.8","57"
"57","294031","멘부리","4.8","58"
"58","496927","고려성","4.8","59"
"59","459624","오전오후Cafe&샌드위치","4.9","60"
"60","441314","두마리찜닭두찜-성동왕십리점","4.9","61"
"61","296582","화덕피자전문뚜띠쿠치나-용두점","4.8","62"
"62","444556","폭풍토핑피자스톰-안암점","4.9","63"
"63","379849","청년피자-동대문구점","4.9","64"
"64","232899","중앙아구찜&탕","4.6","65"
"65","327290","KFC-한국외대점","4.5","66"
"66","377289","띠앋I왕십리커피볶는형제","4.9","67"
"67","248669","유자유김치떡볶이-본점","4.8","68"
"68","253108","호매호","4.9","69"
"69","559433","101번지남산돈까스-왕십리민자역사점","4.7","70"
"70","1025677","모던카페","4.0","71"
"71","387027","킹스김밥-용두점","4.8","72"
"72","367151","혼밥대왕-왕십리점","4.7","73"
"73","522262","뜸들이다-상왕십리점","4.9","74"
"74","254486","네네치킨-전농점","4.7","75"
"75","412076","나주곰탕-제기점","4.8","76"
"76","38120","홍반장-용두동","4.5","77"
"77","372082","BHC-신설점","4.9","78"
"78","415104","박가부대-신설동역점","4.8","79"
"79","190275","BHC-시립대점","4.8","80"
"0","538678","바다왕국아구찜&해물찜-장안점","4.8","1"
"1","229532","대한닭발1979-신설동역점","4.7","2"
"2","562448","떡참떡볶이참잘하는집-동대문청량리점","5.0","3"
