"","id","name","review_avg","rank"
"0","309557","치킨플러스-성산점","4.9","1"
"1","9598","또래오래-마포망원점","4.8","2"
"2","557745","굽네치킨&피자-성산2동점","5.0","3"
"3","464297","코리엔탈깻잎두마리치킨-증산점","4.8","4"
"4","501742","두마리찜닭두찜-마포상암점","5.0","5"
"5","522188","7번가피자-서교망원점","4.9","6"
"6","312660","파리바게뜨-마포구청점","4.8","7"
"7","260861","피자헛-성산3호점","4.7","8"
"8","246850","나뚜루-신촌점","4.8","9"
"9","407905","족보잇는국밥&밀면-홍대직영점","4.8","10"
"10","22943","파파존스피자-상암점","4.3","11"
"11","237414","네네치킨-성산점","4.7","12"
"12","317774","도미노피자-상암점","4.8","13"
"13","462561","PB델리-마포구청점","5.0","14"
"14","516649","돈치킨-성산가좌점","4.9","15"
"15","485380","떡볶이도맛있는치킨플러스-성산점","4.9","16"
"16","482616","아웃백-마포점","4.7","17"
"17","446487","매드포갈릭-상암MBC점","4.5","18"
"18","37262","맘스터치-망원역점","4.6","19"
"19","560962","페리카나-성산동점","4.9","20"
"20","519175","돈피자-성산가좌점","4.2","21"
"21","237922","피자알볼로-상암점","4.5","22"
"22","478197","쫄면주는삼겹본능by놀부-서대문구가좌점","4.9","23"
"23","242869","피자에땅-가재울점","4.7","24"
"24","566635","떡참떡볶이참잘하는집-서대문북가좌점","4.8","25"
"25","450075","세븐일레븐-마포구청점","0.0","26"
"26","452100","고피자-상수직영점","4.8","27"
"27","225936","미스터피자-명지대점","4.4","28"
"28","400517","에그드랍-상암DMC점","4.6","29"
"29","454736","CU-월드컵공원점","0.0","30"
"30","566320","원할머니보쌈-망원배달점","4.9","31"
"31","501023","김충기꽃삼겹-마포점","4.8","32"
"32","282916","놀부부대찌개-합정자이점","4.8","33"
"33","478205","놀부보쌈족발-서대문구가좌점","4.9","34"
"34","285078","박가부대-합정교보점","4.5","35"
"35","1028711","제일제면소-상암DMC점","5.0","36"
"36","1028698","빕스얌딜리버리-상암DMC점","5.0","37"
"37","488468","스파게티스토리-홍대점","4.9","38"
"38","392006","족발야시장-상암점","4.9","39"
"39","281430","소노야-합정역점","4.7","40"
"40","1027377","weekandweekend-상수점","5.0","41"
"41","308945","벚꽃스시-본점","4.8","42"
"42","333","안동장","4.4","43"
"43","51175","김밥천국-망원점","4.4","44"
"44","309557","치킨플러스-성산점","4.9","45"
"45","1023298","학샌드위치","0.0","46"
"46","354732","굽네치킨&피자-서대문연희점","4.8","47"
"47","494760","서교밥집","4.8","48"
"48","9598","또래오래-마포망원점","4.8","49"
"49","277610","대족장","4.8","50"
"50","343093","족발야시장-응암역점","4.9","51"
"51","25180","마야콩짜장","4.7","52"
"52","281350","육전면사무소 합정점","4.6","53"
"53","433880","오물오물-연남점","4.9","54"
"54","252976","연천홍","4.5","55"
"55","339692","원기정-망원점","4.8","56"
"56","1019490","망원동티라미수-연트럴파크점","5.0","57"
"57","557745","굽네치킨&피자-성산2동점","5.0","58"
"58","233782","천하제일족발보쌈","4.7","59"
"59","66250","가장맛있는족발-응암오거리점","4.6","60"
"60","557554","스윗사워솔트","4.9","61"
"61","493170","커피사피엔스-DMC에코자이점","4.9","62"
"62","264006","스시앤-마포점","4.8","63"
"63","337400","KFC-상암DMC점","4.5","64"
"64","238181","돈까스참잘하는집-망원동점","4.6","65"
"65","494303","커피사피엔스-상암이안점","5.0","66"
