"","id","name","review_avg","rank"
"0","375895","하우마라탕-강남점","4.6","1"
"1","342848","두마리찜닭두찜-강남역삼점","4.9","2"
"2","479574","박가부대-역삼배달점","4.9","3"
"3","265390","직화삼겹직구삼-강남1호점","4.7","4"
"4","399806","7번가피자-서초교대점","4.9","5"
"5","487219","컬투치킨-서초1호점","4.8","6"
"6","514732","뉴욕버거앤치킨-신논현점","4.7","7"
"7","374956","네네치킨-역삼1점","4.9","8"
"8","353124","에그드랍-양재역점","4.8","9"
"9","448645","김충기꽃삼겹-강남점","4.8","10"
"10","356319","아웃백-서초점","4.7","11"
"11","241710","원할머니국수보쌈-논현점","4.5","12"
"12","240608","피자헛-개포3호점","4.6","13"
"13","242191","굽네치킨&피자-양재1동점","4.3","14"
"14","477188","빕스얌딜리버리-서초점","4.8","15"
"15","230021","파파존스피자-서초점","4.7","16"
"16","418366","또래오래-서초1호점","4.7","17"
"17","348355","놀부보쌈족발-서초점","4.6","18"
"18","565692","멕시카나-서초교대점","4.6","19"
"19","282343","파리바게뜨-양재역점","4.7","20"
"20","437566","호식이두마리치킨-개포1호점","4.8","21"
"21","460979","PB델리-양재역점","3.5","22"
"22","36836","피자알볼로-서초점","4.6","23"
"23","365945","족보잇는국밥&밀면-역삼점","4.8","24"
"24","577008","반올림피자샵-서초점","4.8","25"
"25","429249","쫄면주는삼겹본능by놀부-서초점","4.8","26"
"26","348350","흥부찜닭by놀부-서초점","4.7","27"
"27","429266","놀부부대찌개-서초점","4.6","28"
"28","307887","파리크라상-도곡점","4.6","29"
"29","451319","매드포갈릭-도곡점","4.3","30"
"30","581086","최고남제육명가-강남1호점","4.8","31"
"31","1003321","미스터피자-양재점","4.7","32"
"32","480267","고피자-강남점","4.5","33"
"33","347058","페리카나-양재점","4.4","34"
"34","1017402","에그슬럿-강남점","4.6","35"
"35","489857","세븐일레븐-서초행복점","5.0","36"
"36","559423","부어치킨-신논현점","4.6","37"
"37","528245","떡참떡볶이참잘하는집-신사점","4.4","38"
"38","427316","맘스터치-양재역점","4.8","39"
"39","429254","돈까스퐁당떡볶이공수간-서초점","4.6","40"
"40","410993","CU-양재디오빌점","4.8","41"
"41","567345","곱떡치떡-역삼점","5.0","42"
"42","530463","파스쿠찌-기쁨병원점","0.0","43"
"43","567725","찜꽁찜닭-역삼점","5.0","44"
"44","1021942","유로코피자-강남1호점","0.0","45"
"45","537406","비스포킷-서초점","4.9","46"
"46","447796","모미모미-역삼점","4.7","47"
"47","492098","김밥에빠지다","4.7","48"
"48","1030095","감성수작국수보쌈","0.0","49"
"49","462893","파스토보이-역삼점","4.8","50"
"50","577857","로플로플-강남직영점","4.9","51"
"51","434578","제육대가-역삼점","4.9","52"
"52","532276","소풍김밥-역삼점","4.8","53"
"53","1019783","더오일오브쿠엔즈버킷-센터필드점","0.0","54"
"54","381413","경성밥상-강남본점","4.9","55"
"55","317733","정성이가득찬집밥-강남본점","4.6","56"
"56","342848","두마리찜닭두찜-강남역삼점","4.9","57"
"57","479574","박가부대-역삼배달점","4.9","58"
"58","285886","스쿨푸드-논현점","4.6","59"
"59","454243","스카이31-강남점","4.7","60"
"60","413273","기대만족-본점","4.8","61"
"61","458367","취홍-서울교대점","4.9","62"
"62","285914","스쿨푸드-양재점","4.6","63"
"63","505779","가유카페-강남점","4.9","64"
"64","1022708","돈웍","5.0","65"
"65","446400","팔공티-한티점","4.8","66"
"66","237545","굽네치킨&피자-역삼2동점","4.6","67"
"67","437269","차고집칡냉면&돈까스-강남점","4.9","68"
"68","265390","직화삼겹직구삼-강남1호점","4.7","69"
"69","450238","한방대가삼계탕","4.8","70"
"70","532513","소풍김밥-양재점","4.8","71"
"71","404134","청년피자-개포점","4.9","72"
"72","237607","취홍-강남점","4.3","73"
"73","491621","스테프핫도그-양재역점","4.8","74"
"74","489597","헤비스테이크-강남역점","4.8","75"
"75","1022914","기분좋은날현초밥-역삼점","5.0","76"
"76","583778","쁘라텟타이","4.9","77"
"77","299275","신화불닭-강남점","4.7","78"
"78","301721","희래등-서초본점","4.5","79"
"79","354615","마라하오-서초점","4.7","80"
"0","508746","육회이야기-역삼점","4.8","1"
"1","375895","하우마라탕-강남점","4.6","2"
"2","472918","선릉역영이네추억의떡볶이","4.9","3"
"3","342848","두마리찜닭두찜-강남역삼점","4.9","4"
"4","479574","박가부대-역삼배달점","4.9","5"
"5","399806","7번가피자-서초교대점","4.9","6"
"6","487219","컬투치킨-서초1호점","4.8","7"
"7","514732","뉴욕버거앤치킨-신논현점","4.7","8"
"8","374956","네네치킨-역삼1점","4.9","9"
"9","353124","에그드랍-양재역점","4.8","10"
"10","448645","김충기꽃삼겹-강남점","4.8","11"
"11","356319","아웃백-서초점","4.7","12"
"12","241710","원할머니국수보쌈-논현점","4.5","13"
"13","477188","빕스얌딜리버리-서초점","4.8","14"
"14","557695","호식이두마리치킨-역삼1호점","4.6","15"
"15","240608","피자헛-개포3호점","4.6","16"
"16","242191","굽네치킨&피자-양재1동점","4.3","17"
"17","546963","직화삼겹직구삼-서초점","4.9","18"
"18","230021","파파존스피자-서초점","4.7","19"
"19","418366","또래오래-서초1호점","4.7","20"
"20","348355","놀부보쌈족발-서초점","4.6","21"
"21","565692","멕시카나-서초교대점","4.6","22"
"22","282343","파리바게뜨-양재역점","4.7","23"
"23","565159","최고남제육명가-서초점","5.0","24"
"24","460979","PB델리-양재역점","3.5","25"
"25","36836","피자알볼로-서초점","4.6","26"
"26","365945","족보잇는국밥&밀면-역삼점","4.8","27"
"27","577008","반올림피자샵-서초점","4.9","28"
"28","429249","쫄면주는삼겹본능by놀부-서초점","4.8","29"
"29","348350","흥부찜닭by놀부-서초점","4.7","30"
"30","429266","놀부부대찌개-서초점","4.6","31"
"31","307887","파리크라상-도곡점","4.6","32"
"32","324453","또봉이통닭-서초점","4.5","33"
"33","451319","매드포갈릭-도곡점","4.3","34"
"34","429254","돈까스퐁당떡볶이공수간-서초점","4.6","35"
"35","1003321","미스터피자-양재점","4.7","36"
"36","480267","고피자-강남점","4.5","37"
"37","347058","페리카나-양재점","4.4","38"
"38","1017402","에그슬럿-강남점","4.6","39"
"39","489857","세븐일레븐-서초행복점","5.0","40"
"40","559423","부어치킨-신논현점","4.6","41"
"41","528245","떡참떡볶이참잘하는집-신사점","4.4","42"
"42","427316","맘스터치-양재역점","4.8","43"
"43","410993","CU-양재디오빌점","4.8","44"
"44","567345","곱떡치떡-역삼점","5.0","45"
"45","530463","파스쿠찌-기쁨병원점","0.0","46"
"46","567725","찜꽁찜닭-역삼점","5.0","47"
"47","537406","비스포킷-서초점","4.9","48"
"48","447796","모미모미-역삼점","4.7","49"
"49","492098","김밥에빠지다","4.7","50"
"50","1023652","인생갈비탕","0.0","51"
"51","426137","왕손피자-역삼점","4.9","52"
"52","577857","로플로플-강남직영점","4.9","53"
"53","434578","제육대가-역삼점","4.9","54"
"54","532276","소풍김밥-역삼점","4.8","55"
"55","1017886","얼짱포차","0.0","56"
"56","462893","파스토보이-역삼점","4.8","57"
"57","317733","정성이가득찬집밥-강남본점","4.6","58"
"58","342848","두마리찜닭두찜-강남역삼점","4.9","59"
"59","479574","박가부대-역삼배달점","4.9","60"
"60","454243","스카이31-강남점","4.7","61"
"61","413273","기대만족-본점","4.8","62"
"62","381413","경성밥상-강남본점","4.9","63"
"63","458367","취홍-서울교대점","4.9","64"
"64","505779","가유카페-강남점","4.9","65"
"65","446400","팔공티-한티점","4.8","66"
"66","1023250","빽다방-강남역CGV점","5.0","67"
"67","285886","스쿨푸드-논현점","4.6","68"
"68","237545","굽네치킨&피자-역삼2동점","4.6","69"
"69","265390","직화삼겹직구삼-강남1호점","4.7","70"
"70","450238","한방대가삼계탕","4.8","71"
"71","532513","소풍김밥-양재점","4.8","72"
"72","404134","청년피자-개포점","4.9","73"
"73","285914","스쿨푸드-양재점","4.6","74"
"74","237607","취홍-강남점","4.3","75"
"75","491621","스테프핫도그-양재역점","4.8","76"
"76","489597","헤비스테이크-강남역점","4.8","77"
"77","1024740","오늘도회이팅","5.0","78"
"78","583778","쁘라텟타이","4.9","79"
