"","id","name","review_avg","rank"
"0","322624","마라하오-왕십리점","4.8","1"
"1","538678","바다왕국아구찜&해물찜-장안점","4.8","2"
"2","237644","반올림피자샵-성동구점","4.8","3"
"3","237355","7번가피자-한양대점","4.8","4"
"4","53440","멕시카나-마장점","4.6","5"
"5","479981","직화삼겹직구삼-왕십리점","4.8","6"
"6","510388","호식이두마리치킨-한양대점","4.8","7"
"7","422978","피자헛-왕십리한양대점","4.8","8"
"8","297678","파리바게뜨-왕십리점","4.8","9"
"9","502878","두마리찜닭두찜-한양대점","4.9","10"
"10","320170","도미노피자-행당점","4.7","11"
"11","534762","떡참떡볶이참잘하는집-동대문답십리점","5.0","12"
"12","229969","파파존스피자-왕십리점","4.7","13"
"13","425623","족보잇는국밥&밀면-왕십리직영점","4.9","14"
"14","225655","박가부대-성수코오롱디지털밸리점","4.7","15"
"15","339074","호치킨-한양대점","4.6","16"
"16","34219","페리카나-왕십리점","4.8","17"
"17","461162","PB델리-왕십리점","5.0","18"
"18","458955","피자알볼로-왕십리뉴타운점","4.8","19"
"19","80098","강정구의피자생각-장안점","4.8","20"
"20","47521","김준현의피자헤븐-한양대점","4.6","21"
"21","217204","원할머니보쌈-행당점","4.3","22"
"22","579772","쫄면주는삼겹본능by놀부-왕십리뉴타운점","4.9","23"
"23","1006493","미스터피자-왕십리점","4.8","24"
"24","418218","부어치킨-장안동점","4.7","25"
"25","579778","돈까스퐁당떡볶이공수간-왕십리뉴타운점","4.8","26"
"26","480390","고피자-행당점","4.9","27"
"27","439959","맘스터치-행당역점","4.7","28"
"28","532886","에그드랍-서울왕십리점","4.9","29"
"29","561858","굽네치킨&피자-상왕십리역점","4.9","30"
"30","481136","세븐일레븐-마장하영점","4.0","31"
"31","491293","아웃백-옥수점","4.7","32"
"32","585946","CU-왕십리씨티점","5.0","33"
"33","490679","빕스-제일제당센터점","4.8","34"
"34","558229","곱떡치떡-장안점","4.8","35"
"35","558243","찜꽁찜닭-장안점","4.9","36"
"36","266206","버거킹-왕십리센트라스점","4.7","37"
"37","426811","베트남쌀국수미스사이공 신설동점","4.8","38"
"38","541685","김승현스시","4.9","39"
"39","1018009","고니야","0.0","40"
