"","id","name","review_avg","rank"
"0","357746","교촌치킨-잠실2호점","4.6","1"
"1","475929","무국적식탁-송파점","4.8","2"
"2","306743","쫄면주는삼겹본능by놀부-잠실점","4.7","3"
"3","266309","반올림피자샵-잠실점","4.8","4"
"4","527901","빕스얌딜리버리-송파점","4.8","5"
"5","3019","굽네치킨&피자-방이점","4.8","6"
"6","501919","떡참떡볶이참잘하는집-송파본점","4.9","7"
"7","321868","도미노피자-잠실점","4.8","8"
"8","45641","원할머니보쌈-석촌점","4.6","9"
"9","306742","놀부보쌈족발-잠실점","4.5","10"
"10","493061","두찜-송파방이점","4.9","11"
"11","276361","돈까스퐁당떡볶이공수간-잠실점","4.5","12"
"12","231263","피자헛-송파4거리점","4.5","13"
"13","528112","유로코피자-잠실송파점","5.0","14"
"14","463643","아웃백-송파점","4.8","15"
"15","246855","나뚜루-잠실롯데월드몰1층점","4.6","16"
"16","340854","빅스타피자-가락점","4.7","17"
"17","265218","미스터보쌈족발-방이점","4.5","18"
"18","1009926","흥부찜닭by놀부-잠실직영점","4.9","19"
"19","229983","파파존스피자-송파구청점","4.5","20"
"20","218170","네네치킨-잠실새내역점","4.6","21"
"21","2834","피자알볼로-방이점","4.6","22"
"22","462654","PB델리-잠실장미점","4.0","23"
"23","360719","놀부부대찌개-잠실푸르지오점","4.7","24"
"24","289801","파리바게뜨-잠실장미점","4.8","25"
"25","306423","스탠딩스테이크-방이점","4.5","26"
"26","23779","페리카나-장미점","4.7","27"
"27","332885","에그드랍-잠실점","4.6","28"
"28","578674","네오피자-서울송파점","4.9","29"
"29","559753","미스터피자-송파점","4.1","30"
"30","1004347","직화삼겹직구삼-송파점","5.0","31"
"31","557689","곱떡치떡-송파점","5.0","32"
"32","557691","찜꽁찜닭-송파점","2.0","33"
"33","1004355","최고남제육명가-송파점","4.2","34"
"34","533262","세븐일레븐-잠실교통회관점","5.0","35"
"35","336391","파스쿠찌-잠실역점","4.4","36"
"36","410671","CU-한신잠실코아점","4.7","37"
"37","1014293","고피자-방이점","4.9","38"
"38","584918","GSTHEFRESH-잠실장미점","0.0","39"
"39","497608","빠지지마라마라탕&마라샹궈","4.8","40"
"40","484545","구구족-방이점","4.9","41"
"41","34952","오떡-본점","4.7","42"
"42","1017941","샐레몬","0.0","43"
"43","443147","빵위에치즈-잠실본점","4.9","44"
"44","530262","비스트로피자-잠실점","4.9","45"
"45","306743","쫄면주는삼겹본능by놀부-잠실점","4.7","46"
"46","393339","파스타입니다","4.8","47"
"47","285304","큰바다활어-방이점","3.7","48"
"48","434329","직화방-바싹불고기&직화갈비&삼겹-송파점","4.9","49"
"49","415183","ZIOBENexpress","4.9","50"
"50","519256","와썹파스타&필라프-잠실점","4.9","51"
"51","478419","육회란연어다","4.8","52"
"52","45641","원할머니보쌈-석촌점","4.6","53"
"53","1006357","슬로우캘리-송리단점","4.8","54"
"54","763","신화불닭-송파점","4.6","55"
"55","430872","차고집칡냉면&돈까스","4.9","56"
"56","260837","배달삼겹돼지되지-잠실1호점","4.8","57"
"57","573185","내가찜한닭-송파점","4.9","58"
"58","1021236","압구정샌드위치-잠실새내점","5.0","59"
"59","266309","반올림피자샵-잠실점","4.8","60"
"60","261384","KFC-석촌역점","4.5","61"
"61","531569","찜닭에빠진날-방이본점","4.9","62"
"62","527901","빕스얌딜리버리-송파점","4.8","63"
"63","520783","사보텐-송파점","4.8","64"
"64","3019","굽네치킨&피자-방이점","4.8","65"
"65","501919","떡참떡볶이참잘하는집-송파본점","4.9","66"
"66","559999","마라테이블딜리버리-송파점","4.8","67"
"67","478030","피스인더커피","4.7","68"
"68","322991","파리바게뜨-석촌점","4.8","69"
"69","1020923","정신건강샐러드-방이점","0.0","70"
"70","541712","윤경양식당-잠실점","4.6","71"
"71","360866","김태완스시-송파본점","4.9","72"
"72","296205","밥's볼","4.8","73"
"73","82027","BHC-석촌점","4.6","74"
"74","246012","스쿨푸드-방이점","4.6","75"
"75","520572","서울카레-방이점","4.8","76"
"76","1000653","일월성중화요리","4.3","77"
"77","293816","봉구스밥버거-송파점","4.7","78"
"78","483844","짬뽕지존-송파점","4.8","79"
"79","252602","지코바치킨-서울송파1호점","4.7","80"
"0","357746","교촌치킨-잠실2호점","4.6","1"
"1","475929","무국적식탁-송파점","4.8","2"
"2","306743","쫄면주는삼겹본능by놀부-잠실점","4.7","3"
"3","266309","반올림피자샵-잠실점","4.8","4"
"4","527901","빕스얌딜리버리-송파점","4.8","5"
"5","501919","떡참떡볶이참잘하는집-송파본점","4.9","6"
"6","458743","코리엔탈깻잎두마리치킨-석촌점","4.7","7"
"7","321868","도미노피자-잠실점","4.8","8"
"8","45641","원할머니보쌈-석촌점","4.6","9"
"9","306742","놀부보쌈족발-잠실점","4.5","10"
"10","493061","두찜-송파방이점","4.9","11"
"11","276361","돈까스퐁당떡볶이공수간-잠실점","4.5","12"
"12","231263","피자헛-송파4거리점","4.5","13"
"13","528112","유로코피자-잠실송파점","5.0","14"
"14","463643","아웃백-송파점","4.8","15"
"15","246855","나뚜루-잠실롯데월드몰1층점","4.6","16"
"16","509672","멕시카나-송파점","4.8","17"
"17","340854","빅스타피자-가락점","4.7","18"
"18","265218","미스터보쌈족발-방이점","4.5","19"
"19","1009926","흥부찜닭by놀부-잠실직영점","4.9","20"
"20","229983","파파존스피자-송파구청점","4.5","21"
"21","218170","네네치킨-잠실새내역점","4.6","22"
"22","217274","굽네치킨&피자-잠실1호점","4.6","23"
"23","286017","또봉이통닭-석촌점","4.3","24"
"24","2834","피자알볼로-방이점","4.6","25"
"25","462654","PB델리-잠실장미점","4.0","26"
"26","360719","놀부부대찌개-잠실푸르지오점","4.7","27"
"27","289801","파리바게뜨-잠실장미점","4.8","28"
"28","303265","호식이두마리치킨-잠실1호점","4.6","29"
"29","306423","스탠딩스테이크-방이점","4.5","30"
"30","332885","에그드랍-잠실점","4.6","31"
"31","578674","네오피자-서울송파점","4.9","32"
"32","423117","강정구의피자생각-석촌점","4.9","33"
"33","426420","호치킨-방이시장점","4.7","34"
"34","559753","미스터피자-송파점","4.1","35"
"35","1004347","직화삼겹직구삼-송파점","5.0","36"
"36","557689","곱떡치떡-송파점","5.0","37"
"37","557691","찜꽁찜닭-송파점","2.0","38"
"38","1004355","최고남제육명가-송파점","4.2","39"
"39","533262","세븐일레븐-잠실교통회관점","5.0","40"
"40","470172","페리카나-석촌점","4.9","41"
"41","336391","파스쿠찌-잠실역점","4.4","42"
"42","410671","CU-한신잠실코아점","4.7","43"
"43","1014293","고피자-방이점","4.9","44"
"44","584918","GSTHEFRESH-잠실장미점","0.0","45"
"45","484545","구구족-방이점","4.9","46"
"46","34952","오떡-본점","4.7","47"
"47","443147","빵위에치즈-잠실본점","4.9","48"
"48","1017941","샐레몬","0.0","49"
"49","530262","비스트로피자-잠실점","4.9","50"
"50","306743","쫄면주는삼겹본능by놀부-잠실점","4.7","51"
"51","373503","버섯잔치집-본점","4.9","52"
"52","393339","파스타입니다","4.8","53"
"53","1018503","마라의신마라탕&마라샹궈","4.4","54"
"54","369908","맛닭꼬-석촌역점","4.8","55"
"55","492671","단골손님-방이점","4.9","56"
"56","415183","ZIOBENexpress","4.9","57"
"57","519256","와썹파스타&필라프-잠실점","4.9","58"
"58","244121","배달삼겹돼지되지-송파가락점","4.8","59"
"59","375921","꾸브라꼬숯불두마리치킨-방이점","4.8","60"
"60","478419","육회란연어다","4.8","61"
"61","1006357","슬로우캘리-송리단점","4.8","62"
"62","434329","직화방-바싹불고기&직화갈비&삼겹-송파점","4.9","63"
"63","763","신화불닭-송파점","4.6","64"
"64","1019933","리틀넥-잠실점","0.0","65"
"65","430872","차고집칡냉면&돈까스","4.9","66"
"66","573185","내가찜한닭-송파점","4.9","67"
"67","45641","원할머니보쌈-석촌점","4.6","68"
"68","266309","반올림피자샵-잠실점","4.8","69"
"69","261384","KFC-석촌역점","4.5","70"
"70","527901","빕스얌딜리버리-송파점","4.8","71"
"71","520783","사보텐-송파점","4.8","72"
"72","3019","굽네치킨&피자-방이점","4.8","73"
"73","501919","떡참떡볶이참잘하는집-송파본점","4.9","74"
"74","559999","마라테이블딜리버리-송파점","4.8","75"
"75","1028136","설빙-둔촌역점","5.0","76"
"76","478030","피스인더커피","4.7","77"
