"","id","name","review_avg","rank"
"0","34237","페리카나-목동3점","4.8","1"
"1","2925","피자알볼로-목동본점","4.9","2"
"2","247081","미스터보쌈족발-신도림점","4.8","3"
"3","553364","호식이두마리치킨-대림점","4.9","4"
"4","287443","7번가피자-양천점","4.9","5"
"5","296440","파리바게뜨-양천구청점","4.8","6"
"6","350977","쫄면주는삼겹본능by놀부-신정네거리점","4.8","7"
"7","350979","흥부찜닭by놀부-신정네거리점","4.8","8"
"8","321008","치킨플러스-구로점","4.8","9"
"9","242630","직화삼겹직구삼-목동화곡점","4.6","10"
"10","408483","스탠딩스테이크-목동점","4.8","11"
"11","254511","페리카나-신정1점","4.8","12"
"12","231274","피자헛-신월점","4.5","13"
"13","434187","박가부대-목동홈플러스점","4.9","14"
"14","318113","도미노피자-양천점","4.8","15"
"15","1001372","떡참떡볶이참잘하는집-양천신정점","4.7","16"
"16","535195","굽네치킨&피자-신정2동점","4.8","17"
"17","37500","네네치킨-신정1동점","4.8","18"
"18","316124","파파존스피자-신정점","4.7","19"
"19","461715","PB델리-양천구청점","5.0","20"
"20","350983","돈까스퐁당떡볶이공수간-신정네거리점","4.7","21"
"21","1009790","반올림피자샵-신정점","4.9","22"
"22","10395","원할머니보쌈족발-신정점","4.6","23"
"23","9783","또래오래-개봉본점","4.6","24"
"24","278832","빅스타피자-목동신정점","4.7","25"
"25","307886","파리크라상-목동점","4.5","26"
"26","520472","고피자-목동2단지점","4.9","27"
"27","350984","놀부옛날통닭-신정네거리점","4.7","28"
"28","2325","미스터피자-목동점","4.4","29"
"29","417902","놀부부대찌개-양천구청점","4.8","30"
"30","446465","매드포갈릭-목동점","4.7","31"
"31","515682","두마리찜닭두찜-양천신정점","4.8","32"
"32","335430","부어치킨-목동점","4.7","33"
"33","468124","강정구의피자생각-신정점","5.0","34"
"34","566014","최고남제육명가-목동점","4.8","35"
"35","316762","카페베네-신정네거리역점","4.8","36"
"36","1017487","빕스얌딜리버리-목동점","4.3","37"
"37","586146","치킨더홈-구로고척점","4.9","38"
"38","1017490","제일제면소-목동점","4.0","39"
"39","489648","세븐일레븐-목동점","5.0","40"
"40","529159","CU-양천공원점","5.0","41"
"41","276510","파스쿠찌-목동하이페리온2점","4.6","42"
"42","509336","맘스터치-양천구청점","4.5","43"
"43","533210","에그드랍-문래gs타워점","4.8","44"
"44","511466","GSTHEFRESH-목동13점","4.8","45"
"45","485360","떡볶이도맛있는치킨플러스-구로점","4.8","46"
"46","1019915","아웃백-양천점","5.0","47"
"47","1012896","족보잇는국밥&밀면-목동점","4.9","48"
"48","1023318","피자에땅-신정점","5.0","49"
"49","254851","버거킹-목동역점","4.7","50"
"50","578198","고기극찬-양천점","4.9","51"
"51","408881","벚꽃스시-신정점","4.8","52"
"52","1026336","프랭크버거-목동역7단지점","4.7","53"
"53","288133","요녀석파스타&필라프-화곡점","4.9","54"
"54","231590","고스트피자-목동점","4.8","55"
"55","2925","피자알볼로-목동본점","4.9","56"
"56","333897","홍콩반점0410-신정네거리역점","4.7","57"
"57","1026451","죽이요-곰달래점","4.0","58"
"58","455247","찜닭에꽂힌닭집애-신정직영점","4.9","59"
"59","1005889","제육천재-양천점","4.9","60"
"60","334676","돈파스타-화곡점","4.8","61"
"61","344676","별쭈부전","4.8","62"
"62","354951","배달우삼겹우된장-화곡점","4.8","63"
"63","247081","미스터보쌈족발-신도림점","4.8","64"
"64","419096","두마리찜닭두찜-구로고척점","4.8","65"
"65","219697","후라이드참잘하는집-화곡점","4.7","66"
"66","247980","굽네치킨&피자-신정4동점","4.6","67"
"67","248241","까치산족발","4.8","68"
"68","1025035","여기찜닭","5.0","69"
"69","553364","호식이두마리치킨-대림점","4.9","70"
"70","306938","돈까스짱-목동남부시장점","4.8","71"
"71","317759","굽네치킨&피자-신도림점","4.3","72"
"72","257405","공차-목동역점","4.7","73"
"73","261451","KFC-목동사거리점","4.4","74"
"74","502204","바삭까스","4.9","75"
"75","334746","떡순튀-화곡점","4.7","76"
"76","493669","벌떡떡볶이-신월점","4.9","77"
"77","466407","안궁리초밥집","4.8","78"
"78","1015559","덮다-강서점","4.7","79"
"79","1021228","경성식당-신정점","0.0","80"
"0","34237","페리카나-목동3점","4.8","1"
"1","2925","피자알볼로-목동본점","4.9","2"
"2","311519","치킨플러스-신정점","4.8","3"
"3","247081","미스터보쌈족발-신도림점","4.8","4"
"4","30393","호식이두마리치킨-고척점","4.8","5"
"5","287443","7번가피자-양천점","4.9","6"
"6","296440","파리바게뜨-양천구청점","4.8","7"
"7","350977","쫄면주는삼겹본능by놀부-신정네거리점","4.8","8"
"8","350979","흥부찜닭by놀부-신정네거리점","4.8","9"
"9","291357","멕시카나-목동역점","4.5","10"
"10","408483","스탠딩스테이크-목동점","4.8","11"
"11","254511","페리카나-신정1점","4.8","12"
"12","242630","직화삼겹직구삼-목동화곡점","4.6","13"
"13","231274","피자헛-신월점","4.5","14"
"14","434187","박가부대-목동홈플러스점","4.9","15"
"15","318113","도미노피자-양천점","4.8","16"
"16","1001372","떡참떡볶이참잘하는집-양천신정점","4.7","17"
"17","535195","굽네치킨&피자-신정2동점","4.8","18"
"18","37500","네네치킨-신정1동점","4.8","19"
"19","316124","파파존스피자-신정점","4.7","20"
"20","461715","PB델리-양천구청점","5.0","21"
"21","350983","돈까스퐁당떡볶이공수간-신정네거리점","4.7","22"
"22","10395","원할머니보쌈족발-신정점","4.6","23"
"23","9783","또래오래-개봉본점","4.6","24"
"24","278832","빅스타피자-목동신정점","4.7","25"
"25","307886","파리크라상-목동점","4.5","26"
"26","520472","고피자-목동2단지점","4.9","27"
"27","350984","놀부옛날통닭-신정네거리점","4.7","28"
"28","2325","미스터피자-목동점","4.4","29"
"29","417902","놀부부대찌개-양천구청점","4.8","30"
"30","446465","매드포갈릭-목동점","4.7","31"
"31","1011848","코리엔탈깻잎두마리치킨-신정점","5.0","32"
"32","515682","두마리찜닭두찜-양천신정점","4.8","33"
"33","485379","떡볶이도맛있는치킨플러스-신정점","4.6","34"
"34","522295","3가지맛투존치킨-화곡1호점","4.8","35"
"35","335430","부어치킨-목동점","4.7","36"
"36","351004","또봉이통닭-서울신정동점","4.6","37"
"37","468124","강정구의피자생각-신정점","5.0","38"
"38","316762","카페베네-신정네거리역점","4.8","39"
"39","1017487","빕스얌딜리버리-목동점","4.3","40"
"40","452815","호치킨-오목교점","4.9","41"
"41","1017490","제일제면소-목동점","4.0","42"
"42","489648","세븐일레븐-목동점","5.0","43"
"43","529159","CU-양천공원점","5.0","44"
"44","276510","파스쿠찌-목동하이페리온2점","4.6","45"
"45","509336","맘스터치-양천구청점","4.5","46"
"46","533210","에그드랍-문래gs타워점","4.8","47"
"47","511466","GSTHEFRESH-목동13점","4.8","48"
"48","1019915","아웃백-양천점","5.0","49"
"49","566014","최고남제육명가-목동점","4.8","50"
"50","1012896","족보잇는국밥&밀면-목동점","4.9","51"
"51","1023318","피자에땅-신정점","5.0","52"
"52","254851","버거킹-목동역점","4.7","53"
"53","408881","벚꽃스시-신정점","4.8","54"
"54","288133","요녀석파스타&필라프-화곡점","4.9","55"
"55","1026423","프랭크버거-신정네거리점","0.0","56"
"56","2925","피자알볼로-목동본점","4.9","57"
"57","231590","고스트피자-목동점","4.8","58"
"58","333897","홍콩반점0410-신정네거리역점","4.7","59"
"59","455247","찜닭에꽂힌닭집애-신정직영점","4.9","60"
"60","1024994","통큰육식비빔밥-신정점","0.0","61"
"61","247081","미스터보쌈족발-신도림점","4.8","62"
"62","1005889","제육천재-양천점","4.9","63"
"63","311519","치킨플러스-신정점","4.8","64"
"64","419096","두마리찜닭두찜-구로고척점","4.8","65"
"65","354951","배달우삼겹우된장-화곡점","4.8","66"
"66","307165","치킨89-신정네거리역점","4.8","67"
"67","346347","치킨먹고팔자피자-강서점","4.8","68"
"68","219697","후라이드참잘하는집-화곡점","4.7","69"
