"","id","name","review_avg","rank"
"0","327243","셰프홀릭파스타&함박스테이크","4.8","1"
"1","218999","호식이두마리치킨-당산점","4.5","2"
"2","247081","미스터보쌈족발-신도림점","4.8","3"
"3","393460","반올림피자샵-영등포점","4.8","4"
"4","230241","또래오래-영등포구청점","4.6","5"
"5","548860","치킨플러스-당산점","5.0","6"
"6","27748","김준현의피자헤븐-영등포점","4.6","7"
"7","255828","직화삼겹직구삼-구로신도림점","4.6","8"
"8","229789","피자헛-당산3호점","4.5","9"
"9","36790","피자알볼로-당산점","4.7","10"
"10","319951","도미노피자-당산점","4.7","11"
"11","244240","7번가피자-영등포점","4.7","12"
"12","352464","파리바게뜨-영등포구청점","4.9","13"
"13","229996","파파존스피자-문래점","4.4","14"
"14","461358","PB델리-영등포구청점","5.0","15"
"15","271875","놀부부대찌개-목동파라곤점","4.7","16"
"16","547691","굽네치킨&피자-당산2동점","4.8","17"
"17","526245","흥부찜닭by놀부-문래점","4.9","18"
"18","505309","두마리찜닭두찜-영등포당산점","4.9","19"
"19","311497","원할머니보쌈-영등포시장역배달점","4.7","20"
"20","448191","페리카나-영등포점","4.8","21"
"21","323215","쫄면주는삼겹본능by놀부-목동파라곤점","4.6","22"
"22","586912","미스터피자-당산점","4.9","23"
"23","485838","고피자-구로점","4.4","24"
"24","548862","떡볶이도맛있는치킨플러스-당산점","5.0","25"
"25","238690","놀부보쌈족발-영등포3가점","3.7","26"
"26","533210","에그드랍-문래gs타워점","4.8","27"
"27","418440","족보잇는국밥&밀면-영등포직영점","4.8","28"
"28","556387","맘스터치-영등포구청역점","4.7","29"
"29","557050","아웃백-당산점","4.8","30"
"30","327199","CU-영등포으뜸점","5.0","31"
"31","504996","피자에땅-구로점","4.8","32"
"32","490352","세븐일레븐-당산2호점","4.2","33"
"33","1001372","떡참떡볶이참잘하는집-양천신정점","4.7","34"
"34","243813","박가부대-신길점","4.5","35"
"35","565969","최고남제육명가-구로신도림점","4.1","36"
"36","446523","매드포갈릭-여의도점","4.6","37"
"37","1024717","제일제면소-영등포점","1.0","38"
"38","1024709","빕스얌딜리버리-영등포점","0.0","39"
"39","4309","봉명성","4.6","40"
