"","id","name","review_avg","rank"
"0","445730","킹케밥","4.5","1"
"1","309056","배달삼겹돼지되지-용산점","4.7","2"
"2","512062","두마리찜닭두찜-용산원효점","4.9","3"
"3","60238","원할머니보쌈족발-남영점","4.7","4"
"4","474831","돈까스퐁당떡볶이공수간-용산직영점","4.8","5"
"5","1259","김준현의 피자헤븐-용산점","4.6","6"
"6","473548","파리바게뜨-이태원점","4.6","7"
"7","231107","피자헛-한남역점","4.5","8"
"8","251176","파파존스피자-이태원점","4.7","9"
"9","318172","도미노피자-이태원점","4.8","10"
"10","1006673","놀부보쌈족발-용산직영점","4.8","11"
"11","501619","굽네치킨&피자-용산역점","4.8","12"
"12","1019913","에그드랍-한남순천향점","4.7","13"
"13","473952","PB델리-이태원경리단점","0.0","14"
"14","485461","빅스타피자-공덕효창점","4.8","15"
"15","307895","파리크라상-한남점","4.5","16"
"16","1017411","에그슬럿-한남점","0.0","17"
"17","474827","흥부찜닭by놀부-용산직영점","4.8","18"
"18","474843","놀부옛날통닭-용산직영점","4.7","19"
"19","1006677","놀부부대찌개-용산직영점","5.0","20"
"20","491293","아웃백-옥수점","4.7","21"
"21","555154","세븐일레븐-이태원청화점","0.0","22"
"22","410116","CU-이태원해밀턴점","5.0","23"
"23","1018256","미스터피자-숙대용산점","5.0","24"
"24","506144","커피나인-이태원점","4.9","25"
"25","232899","중앙아구찜&탕","4.6","26"
"26","442348","미미파스타","4.8","27"
"27","1028528","통큰두마리찜닭-용문점","0.0","28"
"28","411625","신불떡볶이-숙대점","4.8","29"
"29","280552","할랄가이즈-이태원점","4.5","30"
"30","368199","스페인클럽","4.5","31"
"31","535790","저스틴스테이크","4.8","32"
"32","1022557","동대문엽기떡볶이-동부이촌점","5.0","33"
"33","448122","피굽남피자-숙대점","4.8","34"
"34","488017","노량진수산시장벌교아줌마","4.7","35"
"35","330013","벌떡떡볶이-용산점","4.7","36"
"36","512062","두마리찜닭두찜-용산원효점","4.9","37"
"37","508291","맛없으면환불해주는장군집-용산점","4.8","38"
"38","318390","맥도날드-이태원점","4.6","39"
"39","445730","킹케밥","4.5","40"
"40","239066","롯데리아-숙대입구역점","4.5","41"
"41","1014114","명가갈비찜-마포공덕점","5.0","42"
"42","508853","팬케이크샵","4.6","43"
"43","1026286","로네펠트티하우스-한남점","0.0","44"
"44","482969","위긴티식스","4.8","45"
"45","563137","솔로스키친","4.7","46"
"46","508597","빼어날수족발","4.8","47"
"47","60238","원할머니보쌈족발-남영점","4.7","48"
"48","1014042","서울깡띤SeoulCantine","0.0","49"
"49","1932","원할머니보쌈-종로5가점","4.7","50"
"50","431423","굽네치킨&피자-청파점","4.8","51"
"51","360512","꾸잉","4.8","52"
"52","289488","파리바게뜨-한남점","4.9","53"
"53","281163","육전면사무소 숙대점","4.6","54"
"54","1024160","버거그루72-용산점","0.0","55"
"55","280415","마녀김밥-삼각지점","4.7","56"
"56","9220","래리성","4.3","57"
"57","261416","KFC-한남순천향점","4.4","58"
"58","370289","이여곰탕 용산점","4.6","59"
"59","349737","엘피노323","4.7","60"
"60","284731","바스버거-후암점","4.7","61"
"61","280408","현선이네떡볶이-용산본점","4.7","62"
"62","247216","알부자찜전문점","4.7","63"
"63","494803","은행골-용산점","4.8","64"
"64","279805","어메이징타이-이태원점","4.5","65"
"65","1024087","커피오브콜스","0.0","66"
"66","277610","대족장","4.8","67"
