"","id","name","review_avg","rank"
"0","574051","사이공20,saigon20","4.9","1"
"1","445730","킹케밥","4.5","2"
"2","1932","원할머니보쌈-종로5가점","4.7","3"
"3","56041","김준현의피자헤븐-종로성대점","4.8","4"
"4","297155","파리바게뜨-동국대점","4.8","5"
"5","502931","두마리찜닭두찜-동대문역사점","4.8","6"
"6","487441","굽네치킨&피자-동대문역점","4.6","7"
"7","460600","PB델리-동국대점","0.0","8"
"8","490679","빕스-제일제당센터점","4.8","9"
"9","318109","도미노피자-명동점","4.7","10"
"10","567571","파파존스피자-을지로점","4.8","11"
"11","307812","파리크라상-광화문점","4.7","12"
"12","436231","에그드랍-동대문점","4.7","13"
"13","370733","흥부찜닭by놀부-동대문점","0.0","14"
"14","1015699","미스터피자-충무로점","5.0","15"
"15","359231","아웃백-명동점","4.8","16"
"16","552558","맘스터치-서울시청점","4.5","17"
"17","490699","세븐일레븐-남산센트럴자이점","5.0","18"
"18","273765","파스쿠찌-종로2가점","4.4","19"
"19","472808","CU-중구청점","5.0","20"
"20","579772","쫄면주는삼겹본능by놀부-왕십리뉴타운점","4.9","21"
"21","579778","돈까스퐁당떡볶이공수간-왕십리뉴타운점","4.8","22"
"22","479373","구구족-신당점","4.9","23"
"23","313307","스쿨푸드-종로점","4.7","24"
"24","232899","중앙아구찜&탕","4.6","25"
"25","1022998","북경반점-이태원점","5.0","26"
"26","367151","혼밥대왕-왕십리점","4.7","27"
"27","466944","골목식당필동함박-본점","4.9","28"
"28","487214","비스포킷-광화문점","4.9","29"
"29","3470","현경","4.3","30"
"30","1021463","강릉엄지네꼬막집-서대문역점","5.0","31"
"31","346637","갈비민족&삼겹냉면-신당점","4.8","32"
"32","360971","청구역꽈배기","4.9","33"
"33","526415","밀크홀1937-종로점","5.0","34"
"34","554304","웃긴떡볶이","4.9","35"
"35","367155","1인도시락혼밥대왕-왕십리점","4.8","36"
"36","536016","피클피클장충","4.7","37"
"37","489710","마라식객","4.9","38"
"38","545223","돈돈정-그랑서울점","4.7","39"
"39","390226","1인용묵은지김치찜-서울신당점","4.6","40"
"40","392515","무교동유정낙지-본점","4.2","41"
"41","1026076","코코버블티-명동점","0.0","42"
"42","356391","스테프핫도그 타워8점","4.6","43"
"43","1932","원할머니보쌈-종로5가점","4.7","44"
"44","366505","고기왕창자이언트비빔밥-왕십리점","4.6","45"
"45","558427","커피집아멜라떼-본점","5.0","46"
"46","323826","처갓집양념치킨-충무로점","4.7","47"
"47","497887","꼬꼬방집으로삼겹-왕십리점","4.9","48"
"48","488295","큰집닭강정-동묘점","4.9","49"
"49","555883","아름다운밤연어육회","4.8","50"
"50","288847","써브웨이-안국점","4.8","51"
"51","411040","카렝-카레전문점","4.4","52"
"52","1018962","산하삼계탕&전골","0.0","53"
"53","536627","하이드앤시크-본점","4.9","54"
"54","394909","신전떡볶이-퇴계로점","4.6","55"
"55","572342","대한칡냉면&돈까스","4.9","56"
"56","240887","롯데리아-청구역점","4.8","57"
"57","426811","베트남쌀국수미스사이공 신설동점","4.8","58"
"58","56041","김준현의피자헤븐-종로성대점","4.8","59"
"59","87264","교촌치킨-동대문1호점","4.7","60"
"60","254861","버거킹-충무로역점","4.7","61"
"61","375222","피자나라치킨공주-서울남학점","4.8","62"
"62","280794","공차 약수점","4.7","63"
"63","1015912","A만두여기요-2호점","0.0","64"
"64","412605","입큰아구찜&알곤이찜-신당점","4.9","65"
"65","297155","파리바게뜨-동국대점","4.8","66"
"66","247216","알부자찜전문점","4.7","67"
"67","501935","종로스테이크","4.9","68"
"68","254924","오로지백반","4.6","69"
"69","493977","탐나종합어시장-신당역점","4.9","70"
"70","460077","해담아구찜&해물찜-신당점","4.8","71"
"71","443334","초원의집X곰냉면","4.8","72"
"72","317504","홍보석-을지로점","4.5","73"
"73","410914","장안삼계탕","4.8","74"
"74","1027606","본도시락-종로구청점","0.0","75"
"75","555610","사마르칸트시티","4.8","76"
"76","524436","이북집찹쌀순대-신당점","4.9","77"
"77","491737","마포만두-시청점","4.7","78"
"78","514661","꿀밥상","4.7","79"
"79","282163","파리바게뜨-종로세무서점","4.8","80"
"0","574051","사이공20,saigon20","4.9","1"
"1","445730","킹케밥","4.5","2"
"2","326356","네네치킨-종로점","4.9","3"
"3","1932","원할머니보쌈-종로5가점","4.7","4"
"4","447896","스탠딩스테이크-신당점","4.8","5"
"5","472361","미스터보쌈족발-신당점","4.8","6"
"6","56041","김준현의피자헤븐-종로성대점","4.8","7"
"7","297155","파리바게뜨-동국대점","4.8","8"
"8","265399","반올림피자샵-다산점","4.8","9"
"9","403399","멕시카나-약수역점","4.9","10"
"10","562723","호식이두마리치킨-신당점","4.9","11"
"11","460600","PB델리-동국대점","0.0","12"
"12","318109","도미노피자-명동점","4.7","13"
"13","567571","파파존스피자-을지로점","4.8","14"
"14","307812","파리크라상-광화문점","4.7","15"
"15","436231","에그드랍-동대문점","4.7","16"
"16","370733","흥부찜닭by놀부-동대문점","0.0","17"
"17","1015699","미스터피자-충무로점","5.0","18"
"18","359231","아웃백-명동점","4.8","19"
"19","1006846","굽네치킨&피자-종로4가점","4.9","20"
"20","490679","빕스-제일제당센터점","4.8","21"
"21","552565","맘스터치-종각역점","4.5","22"
"22","490699","세븐일레븐-남산센트럴자이점","5.0","23"
"23","38859","돈치킨-숭인점","4.5","24"
"24","273765","파스쿠찌-종로2가점","4.4","25"
"25","472808","CU-중구청점","5.0","26"
"26","579772","쫄면주는삼겹본능by놀부-왕십리뉴타운점","4.9","27"
"27","579778","돈까스퐁당떡볶이공수간-왕십리뉴타운점","4.8","28"
"28","516021","또봉이통닭-서울대학로점","4.8","29"
"29","417167","돈피자-숭인점","4.3","30"
"30","224438","벌떡떡볶이-동대문점","4.6","31"
"31","479373","구구족-신당점","4.9","32"
"32","313307","스쿨푸드-종로점","4.7","33"
"33","1020863","백남옥손만두-신당점","5.0","34"
"34","237429","쌀통닭-북창동점","4.8","35"
"35","232899","중앙아구찜&탕","4.6","36"
"36","466944","골목식당필동함박-본점","4.9","37"
"37","3470","현경","4.3","38"
"38","1030782","미스터피자&떡볶이-충무로점","0.0","39"
"39","367151","혼밥대왕-왕십리점","4.7","40"
"40","326356","네네치킨-종로점","4.9","41"
"41","554304","웃긴떡볶이","4.9","42"
"42","496070","BBS삐삐에스","4.8","43"
"43","346637","갈비민족&삼겹냉면-신당점","4.8","44"
"44","218977","꽃보다족발-본점","4.7","45"
"45","1932","원할머니보쌈-종로5가점","4.7","46"
"46","447896","스탠딩스테이크-신당점","4.8","47"
"47","1006846","굽네치킨&피자-종로4가점","4.9","48"
"48","497887","꼬꼬방집으로삼겹-왕십리점","4.9","49"
"49","1029596","영다방-혜화명륜점","0.0","50"
"50","488295","큰집닭강정-동묘점","4.9","51"
"51","555883","아름다운밤연어육회","4.8","52"
"52","367155","1인도시락혼밥대왕-왕십리점","4.8","53"
"53","472361","미스터보쌈족발-신당점","4.8","54"
"54","229532","대한닭발1979-신설동역점","4.7","55"
"55","240887","롯데리아-청구역점","4.8","56"
"56","426811","베트남쌀국수미스사이공 신설동점","4.8","57"
"57","56041","김준현의피자헤븐-종로성대점","4.8","58"
"58","87264","교촌치킨-동대문1호점","4.7","59"
"59","254861","버거킹-충무로역점","4.7","60"
"60","1018962","산하삼계탕&전골","0.0","61"
"61","375222","피자나라치킨공주-서울남학점","4.8","62"
"62","280794","공차 약수점","4.7","63"
"63","412605","입큰아구찜&알곤이찜-신당점","4.9","64"
"64","297155","파리바게뜨-동국대점","4.8","65"
"65","247216","알부자찜전문점","4.7","66"
"66","254924","오로지백반","4.6","67"
"67","493977","탐나종합어시장-신당역점","4.9","68"
"68","460077","해담아구찜&해물찜-신당점","4.8","69"
"69","487214","비스포킷-광화문점","4.9","70"
"70","317504","홍보석-을지로점","4.5","71"
"71","1015912","A만두여기요-2호점","0.0","72"
"72","245195","족의한수-종로점","4.8","73"
"73","282163","파리바게뜨-종로세무서점","4.8","74"
"74","435203","마포마라탕","4.8","75"
"75","28979","웍불로입힌직화직영전문점진짜루","4.0","76"
"76","390260","찜이로닭-찜닭본점","4.9","77"
"77","387858","나무인생초밥-종각점","4.9","78"
"78","419572","김밥천국-성균관대점","4.7","79"
"79","265399","반올림피자샵-다산점","4.8","80"
"0","445730","킹케밥","4.5","1"
"1","437501","뚜레쥬르-제일제당사옥점","4.9","2"
"2","56041","김준현의피자헤븐-종로성대점","4.8","3"
"3","254861","버거킹-충무로역점","4.7","4"
"4","375465","투썸플레이스-을지트윈타워점","4.8","5"
"5","460600","PB델리-동국대점","0.0","6"
"6","440115","원할머니보쌈-을지로배달점","4.8","7"
"7","318109","도미노피자-명동점","4.7","8"
"8","567571","파파존스피자-을지로점","4.8","9"
"9","307812","파리크라상-광화문점","4.7","10"
"10","370733","흥부찜닭by놀부-동대문점","0.0","11"
"11","1015699","미스터피자-충무로점","5.0","12"
"12","359231","아웃백-명동점","4.8","13"
"13","552558","맘스터치-서울시청점","4.5","14"
"14","490679","빕스-제일제당센터점","4.8","15"
"15","273765","파스쿠찌-종로2가점","4.4","16"
"16","472808","CU-중구청점","5.0","17"
"17","550365","삼첩분식-혜화점","4.9","18"
"18","579772","쫄면주는삼겹본능by놀부-왕십리뉴타운점","4.9","19"
"19","579778","돈까스퐁당떡볶이공수간-왕십리뉴타운점","4.8","20"
"20","313307","스쿨푸드-종로점","4.7","21"
"21","232899","중앙아구찜&탕","4.6","22"
"22","437501","뚜레쥬르-제일제당사옥점","4.9","23"
"23","1020416","반가불고기","5.0","24"
"24","367151","혼밥대왕-왕십리점","4.7","25"
"25","3470","현경","4.3","26"
"26","32967","미스터돈까스","4.6","27"
"27","1932","원할머니보쌈-종로5가점","4.7","28"
"28","1015912","A만두여기요-2호점","0.0","29"
"29","346637","갈비민족&삼겹냉면-신당점","4.8","30"
"30","555883","아름다운밤연어육회","4.8","31"
"31","466000","더블식스버거","4.9","32"
"32","364216","별대봉식당","4.9","33"
"33","367155","1인도시락혼밥대왕-왕십리점","4.8","34"
"34","237429","쌀통닭-북창동점","4.8","35"
"35","240887","롯데리아-청구역점","4.8","36"
"36","56041","김준현의피자헤븐-종로성대점","4.8","37"
"37","366505","고기왕창자이언트비빔밥-왕십리점","4.6","38"
"38","87264","교촌치킨-동대문1호점","4.7","39"
"39","1021704","케이스타","0.0","40"
"40","254861","버거킹-충무로역점","4.7","41"
"41","288797","롤인익선","4.8","42"
"42","579772","쫄면주는삼겹본능by놀부-왕십리뉴타운점","4.9","43"
"43","412605","입큰아구찜&알곤이찜-신당점","4.9","44"
"44","297155","파리바게뜨-동국대점","4.8","45"
"45","247216","알부자찜전문점","4.7","46"
"46","466944","골목식당필동함박-본점","4.9","47"
"47","254924","오로지백반","4.6","48"
"48","493977","탐나종합어시장-신당역점","4.9","49"
"49","460077","해담아구찜&해물찜-신당점","4.8","50"
"50","1021747","에그타르테","5.0","51"
"51","317504","홍보석-을지로점","4.5","52"
"52","245195","족의한수-종로점","4.8","53"
"53","32966","Mr.도시락","4.4","54"
"54","282163","파리바게뜨-종로세무서점","4.8","55"
"55","516135","종로웰빙푸드-관철점","4.8","56"
"56","28979","웍불로입힌직화직영전문점진짜루","4.0","57"
"57","419572","김밥천국-성균관대점","4.7","58"
"58","447499","김밥천국-명동본점","4.6","59"
"59","397788","응급실국물떡볶이-신당역점","4.9","60"
"60","430061","신라방마라탕-신당점","4.9","61"
"61","1021702","아구듬뿍앤알곤마니-서울황학점","0.0","62"
"62","230086","지코바치킨-서울신당점","4.7","63"
"63","394909","신전떡볶이-퇴계로점","4.6","64"
"64","526415","밀크홀1937-종로점","5.0","65"
"65","375901","BHC-동대문점","4.9","66"
"66","445730","킹케밥","4.5","67"
"67","489710","마라식객","4.9","68"
"68","484486","신룽푸마라탕-신라점","4.7","69"
"69","490893","코코이찌방야-종로점","4.7","70"
"70","453874","KFC-충무로역","4.6","71"
"71","572342","대한칡냉면&돈까스","4.9","72"
"72","1018962","산하삼계탕&전골","0.0","73"
"73","289627","파리바게뜨-카페약수점","4.7","74"
"74","280794","공차 약수점","4.7","75"
"75","500273","MeatDelicious강호동백정","4.7","76"
"76","449617","청담동마녀김밥-시청직영점","4.9","77"
"77","534510","제육대가-동대문점","4.9","78"
"78","367382","불맛직화쭈꾸미&비빔밥","4.7","79"
"79","236665","교촌치킨-신당1호점","4.7","80"
"0","445730","킹케밥","4.5","1"
"1","437501","뚜레쥬르-제일제당사옥점","4.9","2"
"2","56041","김준현의피자헤븐-종로성대점","4.8","3"
"3","254861","버거킹-충무로역점","4.7","4"
"4","502931","두마리찜닭두찜-동대문역사점","4.8","5"
"5","375465","투썸플레이스-을지트윈타워점","4.8","6"
"6","460600","PB델리-동국대점","0.0","7"
"7","440115","원할머니보쌈-을지로배달점","4.8","8"
"8","318109","도미노피자-명동점","4.7","9"
"9","567571","파파존스피자-을지로점","4.8","10"
"10","307812","파리크라상-광화문점","4.7","11"
"11","370733","흥부찜닭by놀부-동대문점","0.0","12"
"12","1015699","미스터피자-충무로점","5.0","13"
"13","359231","아웃백-명동점","4.8","14"
"14","552558","맘스터치-서울시청점","4.5","15"
"15","490679","빕스-제일제당센터점","4.8","16"
"16","472808","CU-중구청점","5.0","17"
"17","273765","파스쿠찌-종로2가점","4.4","18"
"18","516282","자담치킨-종로점","4.8","19"
"19","550365","삼첩분식-혜화점","4.9","20"
"20","579772","쫄면주는삼겹본능by놀부-왕십리뉴타운점","4.9","21"
"21","579778","돈까스퐁당떡볶이공수간-왕십리뉴타운점","4.8","22"
"22","479373","구구족-신당점","4.9","23"
"23","313307","스쿨푸드-종로점","4.7","24"
"24","232899","중앙아구찜&탕","4.6","25"
"25","1018507","순희네빈대떡","0.0","26"
"26","367151","혼밥대왕-왕십리점","4.7","27"
"27","466944","골목식당필동함박-본점","4.9","28"
"28","437501","뚜레쥬르-제일제당사옥점","4.9","29"
"29","3470","현경","4.3","30"
"30","1021419","떡볶이연구소","5.0","31"
"31","346637","갈비민족&삼겹냉면-신당점","4.8","32"
"32","32967","미스터돈까스","4.6","33"
"33","554304","웃긴떡볶이","4.9","34"
"34","1932","원할머니보쌈-종로5가점","4.7","35"
"35","367155","1인도시락혼밥대왕-왕십리점","4.8","36"
"36","497887","꼬꼬방집으로삼겹-왕십리점","4.9","37"
"37","488295","큰집닭강정-동묘점","4.9","38"
"38","555883","아름다운밤연어육회","4.8","39"
"39","366505","고기왕창자이언트비빔밥-왕십리점","4.6","40"
"40","466000","더블식스버거","4.9","41"
"41","1015912","A만두여기요-2호점","0.0","42"
"42","364216","별대봉식당","4.9","43"
"43","237429","쌀통닭-북창동점","4.8","44"
"44","366495","자이언트비빔밥-왕십리점","4.6","45"
"45","240887","롯데리아-청구역점","4.8","46"
"46","426811","베트남쌀국수미스사이공 신설동점","4.8","47"
